bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
bodytrack,ns_s_bwop_noci_cload_picky_hops,,333777500.0,18202.0,4953.614655,21571098.0,667552.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,335925500.0,18422.0,4937.655718,28289213.0,671848.0
bodytrack,mesh_noci_cload_picky_hops,,360755500.0,19767.0,6585.391403,23353697.0,721508.0
bodytrack,kite_small_noci_cload_picky_hops,,336873500.0,17615.0,5014.085915,28481247.0,673744.0
freqmine,kite_small_noci_cload_picky_hops,,454629500.0,10711.0,5070.574304,3906241.0,909257.0
freqmine,ns_s_latop_noci_cload_picky_hops,,456969500.0,10738.0,5000.299619,3926515.0,913937.0
freqmine,ns_s_bwop_noci_cload_picky_hops,,455281000.0,10708.0,5049.776055,3913013.0,910560.0
freqmine,mesh_noci_cload_picky_hops,,468429000.0,12925.0,6719.817716,4064647.0,936856.0
blackscholes,kite_small_noci_cload_picky_hops,,389019000.0,472898.0,4902.236621,14864040.0,2019869.0
blackscholes,ns_s_latop_noci_cload_picky_hops,,392582000.0,468988.0,4853.251098,14857909.0,2019869.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,,393473500.0,475475.0,4871.317413,14642470.0,2019869.0
blackscholes,mesh_noci_cload_picky_hops,,314454500.0,301198.0,6680.93651,11440036.0,2019869.0
canneal,mesh_noci_cload_picky_hops,
canneal,ns_s_latop_noci_cload_picky_hops,
canneal,kite_small_noci_cload_picky_hops,
canneal,ns_s_bwop_noci_cload_picky_hops,
ferret,mesh_noci_cload_picky_hops,,2033485500.0,18686.0,6972.563038,22456657.0,4045996.0
ferret,kite_small_noci_cload_picky_hops,,1690979000.0,16477.0,5023.112772,17952758.0,3360983.0
ferret,ns_s_bwop_noci_cload_picky_hops,,1783069000.0,16366.0,4991.789088,19292989.0,3545163.0
ferret,ns_s_latop_noci_cload_picky_hops,,1788234000.0,16269.0,4982.681863,18773051.0,3555493.0
