bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
blackscholes,ns_s_latop_noci_cload_picky_hops,,393132000.0,470554.0,4788.587092,14864182.0,2019869.0
blackscholes,kite_small_noci_cload_picky_hops,,393601000.0,475932.0,4817.55729,19659106.0,2019869.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,,393315000.0,457873.0,4802.671638,14673152.0,2019869.0
blackscholes,mesh_noci_cload_picky_hops,,322563000.0,302137.0,8006.843428,10907749.0,2019869.0
bodytrack,kite_small_noci_cload_picky_hops,,341237000.0,17861.0,4993.219469,29586255.0,682471.0
bodytrack,mesh_noci_cload_picky_hops,,387188500.0,21172.0,7936.432586,32874405.0,774374.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,335061000.0,18083.0,4916.084107,21642595.0,670119.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,337641500.0,18081.0,4955.705418,28541835.0,675280.0
canneal,mesh_noci_cload_picky_hops,
canneal,kite_small_noci_cload_picky_hops,
canneal,ns_s_bwop_noci_cload_picky_hops,
canneal,ns_s_latop_noci_cload_picky_hops,
freqmine,ns_s_bwop_noci_cload_picky_hops,,458281500.0,10627.0,4964.01884,3938625.0,916561.0
freqmine,ns_s_latop_noci_cload_picky_hops,,457696000.0,10664.0,4929.865163,3933760.0,915390.0
freqmine,kite_small_noci_cload_picky_hops,,457729500.0,10738.0,4975.80132,3934798.0,915457.0
freqmine,mesh_noci_cload_picky_hops,,482160500.0,13761.0,8071.306476,4213946.0,964319.0
ferret,ns_s_bwop_noci_cload_picky_hops,,1706135000.0,13434.0,5064.310288,18150032.0,3391295.0
ferret,ns_s_latop_noci_cload_picky_hops,,1768131000.0,13393.0,5023.804808,18468186.0,3515287.0
ferret,kite_small_noci_cload_picky_hops,,1642021500.0,13433.0,5056.461767,16862255.0,3263068.0
ferret,mesh_noci_cload_picky_hops,,1729448500.0,16608.0,8475.208354,19410892.0,3437922.0
