bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
canneal,ns_l_latop_noci_cload_picky_hops,,4080975500.0,7068584.0,18858.944114,318033994.0,8161947.0
canneal,ns_m_bwop_noci_cload_picky_hops,,4099502000.0,7180986.0,19364.252995,319354097.0,8199000.0
canneal,ns_l_bwop_noci_cload_picky_hops,,4085150000.0,7090096.0,18939.654144,317742755.0,8170296.0
canneal,kite_large_noci_cload_picky_hops,,4154753500.0,7289598.0,19601.354904,322306376.0,8309503.0
canneal,ns_m_latop_noci_cload_picky_hops,,4133852000.0,7238939.0,19456.029214,323394115.0,8267700.0
canneal,ns_s_bwop_noci_cload_picky_hops,,4644574000.0,7191582.0,18829.483024,357180833.0,9289144.0
canneal,ns_s_latop_noci_cload_picky_hops,,4060463000.0,7130407.0,18878.223574,316973674.0,8120922.0
canneal,kite_medium_noci_cload_picky_hops,,4170923500.0,7292148.0,19990.892479,325060722.0,8341843.0
canneal,kite_small_noci_cload_picky_hops,,4643982000.0,7059174.0,18834.917108,356125507.0,9287960.0
canneal,cmesh_x_noci_cload_picky_hops,
canneal,mesh_noci_cload_picky_hops,,4670355500.0,8136236.0,22631.962048,363229935.0,9340707.0
canneal,ft_x_noci_cload_picky_hops,
canneal,dbl_bfly_x_noci_cload_picky_hops,,4361380500.0,7566334.0,20912.353121,339828535.0,8722757.0
canneal,butter_donut_x_noci_cload_picky_hops,,4203620500.0,7323683.0,19880.648345,327436339.0,8407237.0
canneal,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,4301054000.0,7318054.0,20430.109767,334834742.0,8602104.0
canneal,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
canneal,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,4209582000.0,7351117.0,20267.053657,327718941.0,8419160.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,
blackscholes,ns_m_latop_noci_cload_picky_hops,,20535407000.0,24175362.0,27369.533905,1604041925.0,41070810.0
blackscholes,dbl_bfly_x_noci_cload_picky_hops,
blackscholes,butter_donut_x_noci_cload_picky_hops,,20625437500.0,24225527.0,28344.14757,1612832714.0,41250871.0
blackscholes,ns_l_bwop_noci_cload_picky_hops,,20539909500.0,24146784.0,28032.933887,1607221387.0,41079815.0
blackscholes,kite_large_noci_cload_picky_hops,,20581534000.0,24357581.0,27856.628105,1607013650.0,41163064.0
blackscholes,mesh_noci_cload_picky_hops,,20827102500.0,24588188.0,29962.292913,1621575918.0,41654201.0
blackscholes,ft_x_noci_cload_picky_hops,,20661116000.0,24468537.0,30337.418592,1623092818.0,41322228.0
blackscholes,kite_small_noci_cload_picky_hops,
blackscholes,cmesh_x_noci_cload_picky_hops,
blackscholes,kite_medium_noci_cload_picky_hops,
blackscholes,ns_s_latop_noci_cload_picky_hops,,20428547000.0,24069805.0,26621.888156,1599149338.0,40857090.0
blackscholes,ns_m_bwop_noci_cload_picky_hops,,20543900500.0,24253068.0,27298.808278,1603477727.0,41087797.0
blackscholes,ns_l_latop_noci_cload_picky_hops,,20529434000.0,24097197.0,27379.375716,1603057506.0,41058864.0
blackscholes,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,20645801500.0,24342052.0,28250.494471,1611578585.0,41291599.0
blackscholes,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
blackscholes,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
bodytrack,mesh_noci_cload_picky_hops,,70020419500.0,121012818.0,22985.676835,6653599508.0,140008606.0
bodytrack,cmesh_x_noci_cload_picky_hops,
bodytrack,dbl_bfly_x_noci_cload_picky_hops,
bodytrack,ns_s_latop_noci_cload_picky_hops,
bodytrack,ns_s_bwop_noci_cload_picky_hops,
bodytrack,ft_x_noci_cload_picky_hops,
bodytrack,kite_large_noci_cload_picky_hops,
bodytrack,ns_l_latop_noci_cload_picky_hops,,60693097500.0,95123597.0,19276.816314,5975720673.0,110835556.0
bodytrack,ns_m_bwop_noci_cload_picky_hops,,63693982000.0,105519211.0,19765.727864,6023838461.0,124643108.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,61184546000.0,100879836.0,19238.020663,5921377199.0,122369089.0
bodytrack,kite_small_noci_cload_picky_hops,
bodytrack,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
bodytrack,ns_m_latop_noci_cload_picky_hops,,58454800000.0,94419807.0,20068.990517,5819524100.0,115572605.0
bodytrack,kite_medium_noci_cload_picky_hops,
bodytrack,butter_donut_x_noci_cload_picky_hops,
bodytrack,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
bodytrack,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
dedup,kite_large_noci_cload_picky_hops,
dedup,ns_l_bwop_noci_cload_picky_hops,
dedup,ns_l_latop_noci_cload_picky_hops,,37756601500.0,65791456.0,17970.452393,2331805865.0,65791456.0
dedup,ns_m_bwop_noci_cload_picky_hops,,29751839000.0,21158008.0,18563.0571,1714407389.0,59410614.0
dedup,ns_m_latop_noci_cload_picky_hops,,32603592000.0,17666622.0,18915.6453,2017244511.0,65207182.0
dedup,ns_s_bwop_noci_cload_picky_hops,
dedup,ns_s_latop_noci_cload_picky_hops,,35721864500.0,34788767.0,17876.092431,2215625568.0,70041589.0
dedup,kite_medium_noci_cload_picky_hops,
dedup,kite_small_noci_cload_picky_hops,,28114873000.0,17169601.0,17738.703976,1648729593.0,49441655.0
dedup,cmesh_x_noci_cload_picky_hops,
dedup,mesh_noci_cload_picky_hops,,31318165000.0,35151953.0,21417.963966,2105200653.0,52636892.0
dedup,ft_x_noci_cload_picky_hops,
dedup,dbl_bfly_x_noci_cload_picky_hops,
dedup,butter_donut_x_noci_cload_picky_hops,,25822605000.0,16530438.0,18587.194584,1765649641.0,51137104.0
dedup,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,26417993000.0,13814364.0,18548.102967,1609755208.0,49508970.0
dedup,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,25129139000.0,26341743.0,18876.9564,1697444439.0,47420955.0
dedup,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
facesim,kite_large_noci_cload_picky_hops,
facesim,ns_l_bwop_noci_cload_picky_hops,,52171755000.0,47366096.0,19542.905724,4580987496.0,104343507.0
facesim,ns_l_latop_noci_cload_picky_hops,
facesim,ns_m_bwop_noci_cload_picky_hops,,54193570500.0,47317691.0,20534.382179,4806047874.0,108387138.0
facesim,ns_m_latop_noci_cload_picky_hops,,53934261500.0,51320846.0,20783.238663,4733920236.0,107868520.0
facesim,ns_s_bwop_noci_cload_picky_hops,
facesim,ns_s_latop_noci_cload_picky_hops,
facesim,kite_medium_noci_cload_picky_hops,
facesim,kite_small_noci_cload_picky_hops,
facesim,cmesh_x_noci_cload_picky_hops,
facesim,mesh_noci_cload_picky_hops,
facesim,ft_x_noci_cload_picky_hops,
facesim,dbl_bfly_x_noci_cload_picky_hops,
facesim,butter_donut_x_noci_cload_picky_hops,
facesim,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
facesim,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
facesim,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
ferret,kite_large_noci_cload_picky_hops,,31834909000.0,23948847.0,24028.107191,2124497145.0,63669816.0
ferret,ns_l_bwop_noci_cload_picky_hops,,34053544000.0,37203612.0,23019.832414,2262002431.0,68107086.0
ferret,ns_l_latop_noci_cload_picky_hops,,31528614000.0,23494773.0,23199.135768,2133227701.0,63057226.0
ferret,ns_m_bwop_noci_cload_picky_hops,,33627674000.0,31170762.0,23713.263338,2309803028.0,67255346.0
ferret,ns_m_latop_noci_cload_picky_hops,,27754011500.0,146978.0,23275.854268,1531645644.0,55508021.0
ferret,ns_s_bwop_noci_cload_picky_hops,
ferret,ns_s_latop_noci_cload_picky_hops,
ferret,kite_medium_noci_cload_picky_hops,
ferret,kite_small_noci_cload_picky_hops,
ferret,cmesh_x_noci_cload_picky_hops,
ferret,mesh_noci_cload_picky_hops,,32973932000.0,32554187.0,27187.204903,2193328847.0,65947862.0
ferret,ft_x_noci_cload_picky_hops,
ferret,dbl_bfly_x_noci_cload_picky_hops,
ferret,butter_donut_x_noci_cload_picky_hops,
ferret,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
ferret,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
ferret,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
fluidanimate,kite_large_noci_cload_picky_hops,
fluidanimate,ns_l_bwop_noci_cload_picky_hops,,40013300000.0,57682537.0,19866.146702,4021799403.0,80026596.0
fluidanimate,ns_l_latop_noci_cload_picky_hops,,34680283000.0,50529162.0,19955.426792,3427010453.0,68556186.0
fluidanimate,ns_m_bwop_noci_cload_picky_hops,,41322177000.0,58009167.0,20407.671984,4238727733.0,81469461.0
fluidanimate,ns_m_latop_noci_cload_picky_hops,,34103566500.0,48728144.0,20706.842943,3320974697.0,67782866.0
fluidanimate,ns_s_bwop_noci_cload_picky_hops,,38141677500.0,57765561.0,20008.928687,3798375580.0,76283351.0
fluidanimate,ns_s_latop_noci_cload_picky_hops,
fluidanimate,kite_medium_noci_cload_picky_hops,
fluidanimate,kite_small_noci_cload_picky_hops,
fluidanimate,cmesh_x_noci_cload_picky_hops,
fluidanimate,mesh_noci_cload_picky_hops,
fluidanimate,ft_x_noci_cload_picky_hops,
fluidanimate,dbl_bfly_x_noci_cload_picky_hops,
fluidanimate,butter_donut_x_noci_cload_picky_hops,,41612977000.0,58728042.0,21050.977593,4270819222.0,82711056.0
fluidanimate,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
fluidanimate,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
fluidanimate,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
streamcluster,kite_large_noci_cload_picky_hops,
streamcluster,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
