bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
blackscholes,ns_l_bwop_noci_cload_picky_hops,,359812000.0,324950.0,13779.712321,13428000.0,2019869.0
blackscholes,ns_l_latop_noci_cload_picky_hops,,359585500.0,320612.0,13715.115795,13372756.0,2019869.0
blackscholes,ns_m_latop_noci_cload_picky_hops,,356476000.0,321632.0,13365.043997,13344888.0,2019869.0
blackscholes,ns_m_bwop_noci_cload_picky_hops,,358174000.0,325055.0,13372.454011,14133037.0,2019869.0
blackscholes,kite_small_noci_cload_picky_hops,,356348500.0,327966.0,12724.382523,12328731.0,2019869.0
blackscholes,mesh_noci_cload_picky_hops,,379108000.0,307365.0,18080.473757,11823241.0,2019869.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,520796500.0,27709.0,14142.32993,44698788.0,1041590.0
bodytrack,ns_l_latop_noci_cload_picky_hops,,530038000.0,27817.0,14081.805434,45008386.0,1060073.0
bodytrack,ns_m_latop_noci_cload_picky_hops,,521859500.0,27232.0,13766.355478,44833678.0,1043716.0
bodytrack,ns_m_bwop_noci_cload_picky_hops,,530154500.0,27422.0,13752.05283,45251537.0,1060306.0
bodytrack,kite_small_noci_cload_picky_hops,,519315500.0,26473.0,13113.158737,44598927.0,1038628.0
bodytrack,mesh_noci_cload_picky_hops,,594903500.0,31868.0,18194.856673,52638938.0,1189804.0
dedup,ns_m_latop_noci_cload_picky_hops,,378206000.0,20235.0,13561.695241,6851956.0,733678.0
dedup,kite_small_noci_cload_picky_hops,,373992500.0,19795.0,12885.831124,6744935.0,725251.0
dedup,ns_l_latop_noci_cload_picky_hops,,380212500.0,20225.0,13856.507162,6883338.0,737691.0
dedup,ns_m_bwop_noci_cload_picky_hops,,378570500.0,20222.0,13567.337761,6853029.0,734407.0
dedup,mesh_noci_cload_picky_hops,,404154500.0,26356.0,18310.03282,7059406.0,785575.0
