bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
blackscholes,ns_l_latop_noci_cload_picky_hops,,341367000.0,312064.0,11296.082652,12370696.0,2019869.0
blackscholes,mesh_noci_cload_picky_hops,,374026500.0,328220.0,14695.348558,13861095.0,2019869.0
blackscholes,ns_m_bwop_noci_cload_picky_hops,,341823500.0,309711.0,11628.221309,12934542.0,2019869.0
blackscholes,ns_m_latop_noci_cload_picky_hops,,342590500.0,312395.0,11666.30715,13553666.0,2019869.0
blackscholes,kite_small_noci_cload_picky_hops,,339130000.0,311858.0,10665.65477,13146077.0,2019869.0
blackscholes,ns_l_bwop_noci_cload_picky_hops,,341634500.0,312261.0,11330.304532,11517077.0,2019869.0
dedup,ns_l_bwop_noci_cload_picky_hops,,360609500.0,18245.0,11336.273955,6547957.0,698485.0
dedup,ns_l_latop_noci_cload_picky_hops,,360318500.0,18248.0,11300.407495,6548973.0,697903.0
dedup,ns_m_bwop_noci_cload_picky_hops,,363182000.0,18857.0,11673.733073,6601099.0,703630.0
dedup,ns_m_latop_noci_cload_picky_hops,,363169000.0,18745.0,11686.691636,6603023.0,703604.0
dedup,kite_small_noci_cload_picky_hops,,357642000.0,17943.0,10576.127452,6508889.0,692550.0
dedup,mesh_noci_cload_picky_hops,,391422500.0,22890.0,14591.613579,7009639.0,760111.0
bodytrack,ns_m_latop_noci_cload_picky_hops,,489566000.0,25403.0,11938.531728,43248924.0,979129.0
bodytrack,mesh_noci_cload_picky_hops,,539485500.0,29238.0,14669.977746,45916027.0,1078968.0
bodytrack,ns_l_latop_noci_cload_picky_hops,,479765000.0,25314.0,11396.67885,31048319.0,959527.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,479258000.0,25662.0,11607.915324,40702139.0,958513.0
bodytrack,kite_small_noci_cload_picky_hops,,460614500.0,24402.0,11039.546733,40044438.0,921226.0
bodytrack,ns_m_bwop_noci_cload_picky_hops,,495112500.0,25748.0,11877.772067,42216025.0,990222.0
canneal,ns_m_bwop_noci_cload_picky_hops,,2396453000.0,4567824.0,11954.160797,249425919.0,4792903.0
canneal,mesh_noci_cload_picky_hops,
canneal,ns_m_latop_noci_cload_picky_hops,,2400141500.0,4562310.0,11997.266864,249718460.0,4800280.0
canneal,ns_l_latop_noci_cload_picky_hops,,2366669500.0,4505777.0,11587.511182,246790349.0,4733336.0
canneal,ns_l_bwop_noci_cload_picky_hops,,2378143500.0,4528070.0,11630.204431,247770825.0,4756284.0
canneal,kite_small_noci_cload_picky_hops,,2335264000.0,4455077.0,11026.921248,243322346.0,4670525.0
facesim,ns_l_bwop_noci_cload_picky_hops,,626356000.0,1252709.0,10134.535063,41753705.0,1252709.0
facesim,ns_l_latop_noci_cload_picky_hops,,626233500.0,1252464.0,10085.586594,41743326.0,1252464.0
facesim,ns_m_bwop_noci_cload_picky_hops,,632067000.0,1264131.0,10486.224935,42147172.0,1264131.0
facesim,ns_m_latop_noci_cload_picky_hops,,630391000.0,1260779.0,10508.378391,42033793.0,1260779.0
facesim,kite_small_noci_cload_picky_hops,,616881000.0,1233759.0,9607.745736,41113234.0,1233759.0
facesim,mesh_noci_cload_picky_hops,,692982000.0,1385961.0,13840.705338,46346813.0,1385961.0
ferret,ns_l_bwop_noci_cload_picky_hops,,1702745000.0,19934.0,11696.581207,19706241.0,3384515.0
ferret,ns_l_latop_noci_cload_picky_hops,,1797252500.0,19813.0,11670.901517,20544324.0,3573530.0
ferret,ns_m_bwop_noci_cload_picky_hops,,1709791500.0,20008.0,12033.752703,19714998.0,3398608.0
ferret,ns_m_latop_noci_cload_picky_hops,,1709593500.0,20004.0,12098.633626,19882873.0,3398212.0
ferret,kite_small_noci_cload_picky_hops,,1792037000.0,18931.0,11033.240535,20954544.0,3563099.0
