bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
canneal,mesh_noci_naive_hops,,58691987000.0,58423436.0,10480.165945,3591479149.0,107527444.0
canneal,ns_s_latop_noci_augmclb_hops,,52471776000.0,100072429.0,7388.282152,3049478983.0,100072429.0
canneal,butter_donut_x_noci_augmclb_hops,,58882754500.0,112937774.0,10324.871772,3579356630.0,112937774.0
canneal,dbl_bfly_x_noci_augmclb_hops,
canneal,ns_m_scop_noci_augmclb_hops,,57624219500.0,55211297.0,9040.132388,3341958155.0,85898367.0
canneal,ns_l_latop_noci_augmclb_hops,,57549242500.0,69908023.0,9509.560498,3421787330.0,88842348.0
canneal,kite_large_noci_augmclb_hops,,60677674500.0,60309630.0,10476.324473,3620272808.0,93270911.0
canneal,ft_x_noci_augmclb_hops,,56678093500.0,73596592.0,9355.679901,3402849876.0,87253823.0
canneal,kite_medium_noci_augmclb_hops,,56384712000.0,54496884.0,9301.053169,3386881510.0,108765429.0
canneal,kite_small_noci_augmclb_hops,,51619126500.0,99694260.0,7320.946025,3025215010.0,99694260.0
canneal,lpbt_s_latop_noci_augmclb_hops,
canneal,lpbt_m_latop_noci_augmclb_hops,,58329129500.0,74291132.0,9844.729117,3513558404.0,89849493.0
canneal,lpbt_s_power_noci_augmclb_hops,
canneal,ns_l_scop_noci_augmclb_hops,,56935156000.0,109569240.0,9655.954808,3433002530.0,109569240.0
canneal,ns_m_latop_noci_augmclb_hops,,56296038000.0,103084590.0,9088.495841,3353988611.0,103084590.0
canneal,ns_s_scop_noci_augmclb_hops,,50800733500.0,100031175.0,7300.415671,3020553642.0,100031175.0
bodytrack,ns_l_latop_noci_augmclb_hops,,42662897000.0,20526546.0,40451.200186,1314411413.0,60911477.0
bodytrack,ns_m_scop_noci_augmclb_hops,,42243841500.0,20343131.0,40647.865637,1313576041.0,60295896.0
bodytrack,mesh_noci_naive_hops,,45056002500.0,22358154.0,73044.547332,1453705890.0,62082159.0
bodytrack,ns_s_latop_noci_augmclb_hops,,42432335000.0,20302451.0,36516.115704,1288588384.0,59260332.0
bodytrack,dbl_bfly_x_noci_augmclb_hops,,45724586500.0,22946030.0,55155.085752,1448793183.0,62999940.0
bodytrack,butter_donut_x_noci_augmclb_hops,,43460934000.0,21553306.0,43545.874692,1379523928.0,60983307.0
bodytrack,ft_x_noci_augmclb_hops,,42389466500.0,20888658.0,49139.042275,1347945815.0,60506033.0
bodytrack,kite_large_noci_augmclb_hops,,42941714500.0,21044097.0,39892.035929,1359801968.0,61027861.0
bodytrack,kite_medium_noci_augmclb_hops,,42484911500.0,20685009.0,43669.794914,1330349627.0,60966156.0
bodytrack,lpbt_m_latop_noci_augmclb_hops,,43077139500.0,21763668.0,50957.18783,1357827668.0,60389372.0
bodytrack,kite_small_noci_augmclb_hops,,41481378500.0,19739527.0,34115.134333,1285034623.0,59237094.0
bodytrack,lpbt_s_power_noci_augmclb_hops,,43135508000.0,21120805.0,46826.555299,1349854564.0,59234099.0
bodytrack,lpbt_s_latop_noci_augmclb_hops,,42331547500.0,21189762.0,45322.728492,1366921566.0,59358118.0
bodytrack,ns_l_scop_noci_augmclb_hops,,43148911000.0,20989446.0,41359.101239,1315052403.0,60824547.0
bodytrack,ns_m_latop_noci_augmclb_hops,,43837067500.0,20990435.0,43442.255381,1331670862.0,60435468.0
bodytrack,ns_s_scop_noci_augmclb_hops,,42071582000.0,20062261.0,33241.690403,1284061922.0,59547584.0
streamcluster,ns_l_latop_noci_augmclb_hops,,32947932000.0,99361.0,8885.284489,72638767.0,65895864.0
streamcluster,ns_s_latop_noci_augmclb_hops,,32135963000.0,90667.0,6899.357704,70408941.0,64271926.0
streamcluster,ns_m_scop_noci_augmclb_hops,,32848350500.0,98540.0,8512.958216,72340301.0,65696701.0
