bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
bodytrack,ns_m_bwop_noci_cload_picky_hops,,446766000.0,893530.0,9807.250125,29677908.0,893530.0
bodytrack,kite_medium_noci_cload_picky_hops,,445578500.0,891155.0,10117.749964,29605154.0,891155.0
bodytrack,ns_m_latop_noci_cload_picky_hops,,444869000.0,889736.0,9819.885916,29553953.0,889736.0
bodytrack,kite_large_noci_cload_picky_hops,,447253000.0,894504.0,9912.045135,29716341.0,894504.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,441153000.0,882304.0,9535.538311,29300385.0,882304.0
bodytrack,ns_l_latop_noci_cload_picky_hops,,441034500.0,882067.0,9488.281984,29288059.0,882067.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,428799000.0,857596.0,8943.312306,28484493.0,857596.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,429151000.0,858300.0,8894.354471,28503789.0,858300.0
bodytrack,kite_small_noci_cload_picky_hops,,430867500.0,861733.0,8984.949706,28617342.0,861733.0
bodytrack,cmesh_x_noci_cload_picky_hops,,443393000.0,886784.0,9662.137045,29451651.0,886784.0
bodytrack,mesh_noci_cload_picky_hops,,462265500.0,924475.0,12552.807325,30742686.0,924529.0
bodytrack,ft_x_noci_cload_picky_hops,,448290500.0,896579.0,10209.488278,29790299.0,896579.0
bodytrack,dbl_bfly_x_noci_cload_picky_hops,,451592000.0,903182.0,10232.659859,30012606.0,903182.0
bodytrack,butter_donut_x_noci_cload_picky_hops,,449140000.0,898278.0,9947.373996,29842027.0,898278.0
bodytrack,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,434392500.0,868783.0,9218.28666,28852325.0,868783.0
bodytrack,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,436607500.0,873213.0,9406.896642,29000278.0,873213.0
bodytrack,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,448536000.0,897070.0,10203.538783,29806594.0,897070.0
blackscholes,ns_m_bwop_noci_cload_picky_hops,,471952000.0,943775.0,9701.084059,12044037.0,943885.0
blackscholes,ns_m_latop_noci_cload_picky_hops,,471859000.0,943699.0,9727.321261,12044964.0,943699.0
blackscholes,kite_medium_noci_cload_picky_hops,,472627000.0,945235.0,10025.714206,12045104.0,945235.0
blackscholes,kite_large_noci_cload_picky_hops,,465800000.0,931581.0,9948.703992,11808485.0,931581.0
blackscholes,ns_l_bwop_noci_cload_picky_hops,,468075500.0,936132.0,9440.497461,11937266.0,936132.0
blackscholes,ns_l_latop_noci_cload_picky_hops,,463339000.0,926659.0,9349.415997,11793847.0,926659.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,,450893000.0,901767.0,8832.462491,11427628.0,901767.0
blackscholes,ns_s_latop_noci_cload_picky_hops,,447639500.0,895260.0,8777.736705,11334721.0,895260.0
blackscholes,kite_small_noci_cload_picky_hops,,449789000.0,899559.0,8832.415164,11403023.0,899559.0
blackscholes,cmesh_x_noci_cload_picky_hops,,458712500.0,917406.0,9521.558508,11623172.0,917406.0
blackscholes,mesh_noci_cload_picky_hops,,510592500.0,17058.0,12745.364518,12985220.0,1021166.0
blackscholes,ft_x_noci_cload_picky_hops,,477840000.0,955661.0,10122.673982,12203289.0,955661.0
blackscholes,dbl_bfly_x_noci_cload_picky_hops,,474980500.0,949942.0,10246.428093,12083898.0,949942.0
blackscholes,butter_donut_x_noci_cload_picky_hops,,463323500.0,926628.0,9810.221322,11737337.0,926628.0
blackscholes,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,460219000.0,920419.0,9042.28558,11727451.0,920419.0
blackscholes,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,449259500.0,898500.0,9210.278375,11335905.0,898500.0
blackscholes,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,471938500.0,943858.0,10154.922008,12007728.0,943858.0
canneal,ns_m_bwop_noci_cload_picky_hops,,1574870000.0,16475.0,9537.015612,62873810.0,3149737.0
canneal,kite_medium_noci_cload_picky_hops,,1599413000.0,16717.0,9835.799577,63853820.0,3198823.0
canneal,ns_m_latop_noci_cload_picky_hops,,1568953500.0,16543.0,9554.439835,62598517.0,3137904.0
canneal,kite_large_noci_cload_picky_hops,,1569980500.0,16760.0,9551.972201,62634057.0,3139958.0
canneal,ns_l_bwop_noci_cload_picky_hops,,1567055500.0,16419.0,9211.284666,62570583.0,3134108.0
canneal,ns_l_latop_noci_cload_picky_hops,,1562421500.0,16327.0,9176.396127,62340145.0,3124840.0
canneal,ns_s_bwop_noci_cload_picky_hops,,1520304000.0,16269.0,8613.108039,60684362.0,3040605.0
canneal,ns_s_latop_noci_cload_picky_hops,,1516190500.0,16211.0,8573.328794,60502034.0,3032378.0
canneal,kite_small_noci_cload_picky_hops,,1529546500.0,16301.0,8652.689392,61070425.0,3059090.0
canneal,cmesh_x_noci_cload_picky_hops,,1556261000.0,16508.0,9348.315168,62085475.0,3112519.0
canneal,mesh_noci_cload_picky_hops,,1722418500.0,19997.0,12485.307885,68696646.0,3444834.0
canneal,ft_x_noci_cload_picky_hops,,1600472500.0,16563.0,9921.774152,63859856.0,3200942.0
canneal,dbl_bfly_x_noci_cload_picky_hops,,1584778000.0,16870.0,9915.701973,63145608.0,3169553.0
canneal,butter_donut_x_noci_cload_picky_hops,,1575249000.0,16698.0,9612.193638,62798231.0,3150495.0
canneal,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,1535254500.0,16209.0,8899.95265,61295297.0,3070506.0
canneal,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,1551220500.0,16329.0,9089.625837,61948589.0,3102438.0
canneal,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,1586805000.0,16785.0,9962.119533,63196723.0,3173607.0
ferret,ns_m_latop_noci_cload_picky_hops,,412031500.0,52106.0,9821.420538,5609259.0,824061.0
ferret,ns_m_bwop_noci_cload_picky_hops,,411398000.0,52543.0,9822.412531,5599751.0,822794.0
ferret,kite_medium_noci_cload_picky_hops,,413666000.0,52791.0,10106.371482,5633330.0,827330.0
ferret,kite_large_noci_cload_picky_hops,,411672000.0,54320.0,9690.785123,5607106.0,823342.0
ferret,ns_l_bwop_noci_cload_picky_hops,,408746000.0,52803.0,9498.449155,5551678.0,817490.0
ferret,ns_l_latop_noci_cload_picky_hops,,408419500.0,50797.0,9425.724721,5556490.0,816837.0
ferret,ns_s_bwop_noci_cload_picky_hops,,407200000.0,50409.0,8867.690213,5515441.0,814398.0
ferret,ns_s_latop_noci_cload_picky_hops,,408316500.0,49663.0,8823.161517,5527209.0,816631.0
ferret,kite_small_noci_cload_picky_hops,,408313500.0,49950.0,8903.511544,5527478.0,816625.0
ferret,cmesh_x_noci_cload_picky_hops,,411719500.0,51700.0,9549.509242,5603488.0,823437.0
ferret,mesh_noci_cload_picky_hops,,431914000.0,28116.0,12595.051849,5872846.0,863826.0
ferret,ft_x_noci_cload_picky_hops,,413884000.0,30141.0,10153.438685,5273852.0,827766.0
ferret,dbl_bfly_x_noci_cload_picky_hops,,416114500.0,54025.0,10112.160983,5665103.0,832227.0
ferret,butter_donut_x_noci_cload_picky_hops,,413283500.0,53391.0,9844.142771,5630976.0,826565.0
ferret,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,408745500.0,49843.0,9141.938024,5541197.0,817489.0
ferret,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,415246500.0,50739.0,9292.323008,5637217.0,830491.0
ferret,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,414868500.0,53906.0,10159.208096,5648118.0,829735.0
dedup,ns_m_bwop_noci_cload_picky_hops,,205066000.0,17028.0,9643.699435,15682859.0,410123.0
dedup,ns_m_latop_noci_cload_picky_hops,,205087500.0,16978.0,9664.059967,15684334.0,410166.0
dedup,kite_medium_noci_cload_picky_hops,,204701000.0,17351.0,9946.425346,15655095.0,409393.0
dedup,kite_large_noci_cload_picky_hops,,204258000.0,17371.0,9658.799531,15618172.0,408507.0
dedup,ns_l_bwop_noci_cload_picky_hops,,204982000.0,16917.0,9350.412488,15676104.0,409955.0
dedup,ns_l_latop_noci_cload_picky_hops,,204199000.0,16751.0,9334.38731,15613777.0,408389.0
dedup,ns_s_bwop_noci_cload_picky_hops,,204628000.0,16255.0,8781.704392,15648281.0,409247.0
dedup,ns_s_latop_noci_cload_picky_hops,,204330500.0,16397.0,8785.029883,15626267.0,408652.0
dedup,kite_small_noci_cload_picky_hops,,203818000.0,16222.0,8837.829318,15584465.0,407627.0
dedup,cmesh_x_noci_cload_picky_hops,,205188000.0,17046.0,9589.119699,15693082.0,410367.0
dedup,mesh_noci_cload_picky_hops,,207569500.0,19628.0,12639.432288,15861263.0,415130.0
dedup,ft_x_noci_cload_picky_hops,,204813000.0,17533.0,10065.811252,15659513.0,409617.0
dedup,dbl_bfly_x_noci_cload_picky_hops,,205080000.0,17471.0,10149.139658,15682188.0,410151.0
