bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
canneal,ns_l_latop_noci_cload_picky_hops,,6891245000.0,40786.0,9428.549822,279994598.0,13782487.0
canneal,ns_l_bwop_noci_cload_picky_hops,,6899799000.0,40652.0,9459.747442,280524024.0,13799595.0
canneal,kite_large_noci_cload_picky_hops,,6998484000.0,41665.0,9810.171557,284912183.0,13996965.0
canneal,ns_m_latop_noci_cload_picky_hops,,6981687000.0,41711.0,10039.615082,283671134.0,13963371.0
canneal,ns_m_bwop_noci_cload_picky_hops,,7005315000.0,41788.0,10016.415272,284836494.0,14010627.0
canneal,ns_s_bwop_noci_cload_picky_hops,,6761696000.0,37003.0,9222.72795,274668371.0,13523389.0
canneal,kite_small_noci_cload_picky_hops,,6787924000.0,36786.0,9273.291245,275672991.0,13575845.0
canneal,kite_medium_noci_cload_picky_hops,,7211703500.0,42234.0,10344.032532,293915926.0,14423404.0
canneal,ns_s_latop_noci_cload_picky_hops,,6733337000.0,36631.0,9176.638201,273034747.0,13466671.0
canneal,ft_x_noci_cload_picky_hops,,7207827000.0,42857.0,10418.959415,293524637.0,14415651.0
canneal,mesh_noci_cload_picky_hops,,7552948500.0,47973.0,12489.636018,305324036.0,15105894.0
canneal,cmesh_x_noci_cload_picky_hops,,6904329000.0,42042.0,9904.084536,279904296.0,13808655.0
canneal,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,6881642500.0,40003.0,9513.430439,279862810.0,13763282.0
canneal,butter_donut_x_noci_cload_picky_hops,,7067274500.0,41779.0,9875.191462,287354394.0,14134546.0
canneal,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,7078920500.0,43129.0,10426.942888,287399015.0,14157838.0
canneal,dbl_bfly_x_noci_cload_picky_hops,,7246333000.0,41947.0,10160.429013,294839498.0,14492663.0
canneal,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,6899930500.0,41561.0,9691.884952,280872103.0,13799858.0
bodytrack,kite_large_noci_cload_picky_hops,,4213987000.0,8427971.0,10316.62544,299590587.0,8427971.0
bodytrack,butter_donut_x_noci_cload_picky_hops,,4252457000.0,8504911.0,10362.218761,302301745.0,8504911.0
bodytrack,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,4107267500.0,8214532.0,10100.101604,292057980.0,8214532.0
bodytrack,cmesh_x_noci_cload_picky_hops,,4148667000.0,8297331.0,10302.012907,295067205.0,8297331.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,4053387500.0,8106772.0,9535.452572,288174809.0,8106772.0
bodytrack,dbl_bfly_x_noci_cload_picky_hops,,4269852000.0,8539701.0,10661.778864,303624701.0,8539701.0
bodytrack,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,4102307500.0,8204612.0,9865.754949,291693788.0,8204612.0
bodytrack,kite_medium_noci_cload_picky_hops,,4299040500.0,8598078.0,10695.598457,305630588.0,8598078.0
bodytrack,ns_m_latop_noci_cload_picky_hops,,4249670000.0,8499337.0,10374.344872,302112405.0,8499337.0
bodytrack,mesh_noci_cload_picky_hops,,4489237000.0,8978471.0,12718.882573,319458539.0,8978471.0
bodytrack,kite_small_noci_cload_picky_hops,,4111133000.0,8222263.0,9636.741753,292209819.0,8222263.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,4071119500.0,8142236.0,9587.967132,289446749.0,8142236.0
bodytrack,ft_x_noci_cload_picky_hops,,4321056500.0,8642110.0,10766.613171,307201809.0,8642110.0
bodytrack,ns_m_bwop_noci_cload_picky_hops,,4225810000.0,8451617.0,10357.733417,300448746.0,8451617.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,4147848000.0,8295693.0,9901.926384,294831232.0,8295693.0
bodytrack,ns_l_latop_noci_cload_picky_hops,,4166536000.0,8333069.0,9863.167179,296128501.0,8333069.0
bodytrack,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,4239419500.0,8478836.0,10739.872052,301477530.0,8478836.0
streamcluster,ft_x_noci_cload_picky_hops,,3108966500.0,45264.0,11146.570011,51150344.0,6217929.0
streamcluster,ns_l_bwop_noci_cload_picky_hops,,3069085000.0,40470.0,10236.959883,50456922.0,6138166.0
streamcluster,kite_large_noci_cload_picky_hops,,3079859000.0,44217.0,10395.334394,50652842.0,6159714.0
streamcluster,kite_medium_noci_cload_picky_hops,,3104418000.0,44771.0,11055.414295,51073968.0,6208832.0
streamcluster,ns_s_latop_noci_cload_picky_hops,,3033140500.0,39593.0,9835.689083,49856898.0,6066277.0
streamcluster,ns_s_bwop_noci_cload_picky_hops,,3033422000.0,39704.0,9854.080617,49861278.0,6066840.0
streamcluster,ns_m_latop_noci_cload_picky_hops,,3096075500.0,44116.0,10777.558972,50923998.0,6192147.0
streamcluster,ns_m_bwop_noci_cload_picky_hops,,3094249000.0,44452.0,10758.077325,50892038.0,6188494.0
streamcluster,ns_l_latop_noci_cload_picky_hops,,3068777500.0,40189.0,10169.035801,50451282.0,6137551.0
streamcluster,cmesh_x_noci_cload_picky_hops,,3083752500.0,44167.0,10492.509742,50716134.0,6167501.0
streamcluster,mesh_noci_cload_picky_hops,,3213568500.0,49826.0,13040.522728,53007270.0,6427133.0
streamcluster,kite_small_noci_cload_picky_hops,,3032522000.0,39650.0,9939.208902,49850235.0,6065040.0
streamcluster,butter_donut_x_noci_cload_picky_hops,,3095770000.0,44394.0,10530.602849,50912511.0,6191536.0
streamcluster,dbl_bfly_x_noci_cload_picky_hops,,3120003500.0,44531.0,10771.192354,51322960.0,6240003.0
streamcluster,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,3114265000.0,45258.0,11195.326254,51236787.0,6228526.0
streamcluster,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,3074084000.0,43316.0,10110.090594,50533594.0,6148164.0
