bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
canneal,kite_large_noci_cload_picky_hops,,3173881000.0,5507314.0,9905.32713,244108668.0,6347758.0
canneal,ns_l_bwop_noci_cload_picky_hops,,3110062000.0,5388759.0,9550.610601,239900813.0,6220120.0
canneal,ns_l_latop_noci_cload_picky_hops,,3109056500.0,5380195.0,9504.969485,239928041.0,6218109.0
canneal,ns_m_bwop_noci_cload_picky_hops,,3180820000.0,5456066.0,9860.348074,245545282.0,6361636.0
canneal,ns_m_latop_noci_cload_picky_hops,,3151881000.0,5447870.0,9877.52973,243416429.0,6303758.0
canneal,ns_s_bwop_noci_cload_picky_hops,,3060829500.0,5307704.0,8960.821538,235886099.0,6121655.0
canneal,ns_s_latop_noci_cload_picky_hops,,3050033000.0,5277863.0,8927.139856,235621462.0,6100062.0
canneal,kite_medium_noci_cload_picky_hops,,3196218500.0,5471789.0,10182.238444,246604157.0,6392433.0
canneal,kite_small_noci_cload_picky_hops,,3067364000.0,5304336.0,8995.293569,236853352.0,6134724.0
canneal,cmesh_x_noci_cload_picky_hops,,3168025000.0,5533996.0,9749.964945,245640088.0,6336046.0
canneal,mesh_noci_cload_picky_hops,,3511518500.0,6101151.0,12761.420616,269739752.0,7023033.0
canneal,ft_x_noci_cload_picky_hops,,3215139500.0,5574569.0,10278.449461,249256279.0,6430275.0
canneal,dbl_bfly_x_noci_cload_picky_hops,,3240407500.0,5630600.0,10328.119847,251333413.0,6480811.0
canneal,butter_donut_x_noci_cload_picky_hops,,3149235500.0,5463194.0,9969.530082,243148550.0,6298467.0
canneal,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,3110728500.0,5392283.0,9258.129276,241246054.0,6221453.0
canneal,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,3109304500.0,5395332.0,9500.624157,240424942.0,6218605.0
canneal,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,3178028000.0,5539967.0,10270.750194,245295698.0,6356052.0
bodytrack,ns_m_bwop_noci_cload_picky_hops,,47772594500.0,72027160.0,10058.449718,4504522165.0,88148041.0
bodytrack,ns_l_latop_noci_cload_picky_hops,,43789919000.0,71258014.0,9732.266107,4096906645.0,83416103.0
bodytrack,kite_small_noci_cload_picky_hops,,42268770500.0,62048029.0,9269.91221,3794359962.0,84477409.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,42758516500.0,61033601.0,9749.760043,3784754935.0,85517030.0
bodytrack,kite_large_noci_cload_picky_hops,,43707089500.0,74417680.0,10243.27167,4284603608.0,87070484.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,46839379000.0,72014644.0,9227.21259,4322316163.0,83509630.0
bodytrack,kite_medium_noci_cload_picky_hops,,45531166000.0,74456034.0,10417.431885,4352805483.0,84245607.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,45972111500.0,75468056.0,9187.400814,4227833973.0,83132062.0
bodytrack,ns_m_latop_noci_cload_picky_hops,,50869453000.0,78709682.0,10063.089417,4606706527.0,87373218.0
bodytrack,mesh_noci_cload_picky_hops,,47296745500.0,85987180.0,12817.946649,4631313593.0,93329710.0
bodytrack,cmesh_x_noci_cload_picky_hops,,48151433500.0,68956922.0,10036.084521,4468422315.0,84468130.0
bodytrack,ft_x_noci_cload_picky_hops,,47758541000.0,77710624.0,10488.912568,4518937467.0,89402239.0
bodytrack,butter_donut_x_noci_cload_picky_hops,,45657211000.0,74703653.0,10251.538144,4099751318.0,81425978.0
bodytrack,dbl_bfly_x_noci_cload_picky_hops,,44392885000.0,70635863.0,10577.237828,4118414282.0,88118578.0
bodytrack,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,41869935500.0,63358797.0,9568.14724,4015740092.0,83739868.0
bodytrack,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,45858243000.0,68464245.0,9793.609948,4084426081.0,85862272.0
bodytrack,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,45957346500.0,73845223.0,10456.253139,4330662250.0,89133578.0
swaptions,ns_l_bwop_noci_cload_picky_hops,,26196125500.0,52392247.0,10896.710455,3353103876.0,52392247.0
swaptions,kite_large_noci_cload_picky_hops,,26210750000.0,52421491.0,11289.438108,3354975807.0,52421496.0
swaptions,ns_m_bwop_noci_cload_picky_hops,,26247790500.0,52495577.0,11217.773623,3359716979.0,52495577.0
swaptions,ns_l_latop_noci_cload_picky_hops,,26176642500.0,52353281.0,10839.415045,3350610039.0,52353281.0
swaptions,ns_s_bwop_noci_cload_picky_hops,,26061732000.0,52123460.0,10100.137698,3335901508.0,52123460.0
swaptions,ns_m_latop_noci_cload_picky_hops,,26222630000.0,52445256.0,11244.069482,3356496451.0,52445256.0
