bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
facesim,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,98164000.0,196300.0,4849.475529,4614187.0,196300.0
facesim,cmesh_x_noci_cload_picky_hops,,98977000.0,197926.0,5098.949,4646576.0,197926.0
facesim,ns_s_latop_noci_cload_picky_hops,,97719500.0,195411.0,4690.616586,4598625.0,195411.0
facesim,ns_s_bwop_noci_cload_picky_hops,,97879500.0,195653.0,4715.133608,4592260.0,195731.0
facesim,dbl_bfly_x_noci_cload_picky_hops,,104313000.0,208598.0,6539.070885,4864240.0,208598.0
facesim,butter_donut_x_noci_cload_picky_hops,,103374000.0,206720.0,6237.225552,4837732.0,206720.0
facesim,kite_medium_noci_cload_picky_hops,,101616000.0,203204.0,5868.78953,4752257.0,203204.0
facesim,ft_x_noci_cload_picky_hops,,102636500.0,205245.0,5925.329527,4829968.0,205245.0
facesim,kite_small_noci_cload_picky_hops,,97833000.0,195531.0,4714.722405,4622247.0,195638.0
facesim,mesh_noci_cload_picky_hops,,110227000.0,220426.0,8087.079677,5117700.0,220426.0
facesim,ns_m_latop_noci_cload_picky_hops,,100814500.0,201540.0,5718.96162,4707372.0,201601.0
facesim,ns_l_bwop_noci_cload_picky_hops,,102023000.0,203925.0,5904.423723,4783996.0,204018.0
facesim,ns_l_latop_noci_cload_picky_hops,,101662000.0,203296.0,5872.919333,4763587.0,203296.0
facesim,ns_m_bwop_noci_cload_picky_hops,,101605500.0,203183.0,5719.472949,4785128.0,203183.0
facesim,kite_large_noci_cload_picky_hops,,103532500.0,207037.0,6176.559812,4846677.0,207037.0
facesim,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,98764000.0,197500.0,4927.711705,4656718.0,197500.0
facesim,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,102040000.0,204047.0,5955.199514,4783453.0,204052.0
bodytrack,butter_donut_x_noci_cload_picky_hops,,45074500.0,90146.0,6557.122839,3975712.0,90146.0
bodytrack,cmesh_x_noci_cload_picky_hops,,42020000.0,84037.0,5369.564917,3687737.0,84037.0
bodytrack,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,,42055500.0,84108.0,5273.672101,3702285.0,84108.0
bodytrack,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,41772500.0,83542.0,5155.434436,3644851.0,83542.0
bodytrack,kite_small_noci_cload_picky_hops,,41155000.0,82307.0,5030.666593,3623070.0,82307.0
bodytrack,ft_x_noci_cload_picky_hops,,44045500.0,88088.0,6234.195875,3882462.0,88088.0
bodytrack,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,43620500.0,87238.0,6235.437017,3850415.0,87238.0
bodytrack,dbl_bfly_x_noci_cload_picky_hops,,45673500.0,91344.0,6837.903686,4027201.0,91344.0
bodytrack,mesh_noci_cload_picky_hops,,47379500.0,94756.0,8022.700083,4186015.0,94756.0
bodytrack,kite_medium_noci_cload_picky_hops,,43875500.0,87748.0,6188.847982,3893197.0,87748.0
bodytrack,ns_l_bwop_noci_cload_picky_hops,,43807000.0,87611.0,6224.780051,3891260.0,87611.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,41038000.0,82073.0,4977.80978,3546453.0,82073.0
