bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
blackscholes,kite_small_noci_cload_picky_hops,,190027500.0,374827.0,4757.916131,2601275.0,374827.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,,187791000.0,370354.0,4743.809717,2572340.0,370354.0
blackscholes,ns_s_latop_noci_cload_picky_hops,,188099500.0,370971.0,4713.468535,2579146.0,370971.0
blackscholes,mesh_noci_cload_picky_hops,,217193000.0,429158.0,7943.455587,2997492.0,429158.0
facesim,ns_s_latop_noci_cload_picky_hops,,97792000.0,195556.0,4671.664876,4607292.0,195556.0
facesim,ns_s_bwop_noci_cload_picky_hops,,97505000.0,194982.0,4691.412435,4592351.0,194982.0
facesim,mesh_noci_cload_picky_hops,,110501000.0,220974.0,8067.969766,5121042.0,220974.0
facesim,kite_small_noci_cload_picky_hops,,97305000.0,194582.0,4703.753059,4542814.0,194582.0
dedup,ns_s_bwop_noci_cload_picky_hops,,17466500.0,34931.0,4580.261433,418520.0,34931.0
dedup,ns_s_latop_noci_cload_picky_hops,,17465500.0,34929.0,4555.182768,418487.0,34929.0
dedup,kite_small_noci_cload_picky_hops,,17464000.0,34926.0,4573.240064,418667.0,34926.0
dedup,mesh_noci_cload_picky_hops,,17610000.0,35218.0,8163.002038,422622.0,35218.0
bodytrack,mesh_noci_cload_picky_hops,,47071500.0,94140.0,8018.250329,4173543.0,94140.0
bodytrack,kite_small_noci_cload_picky_hops,,41089500.0,82176.0,4958.112671,3605621.0,82176.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,41795500.0,83588.0,4924.62368,3715853.0,83588.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,41364500.0,82726.0,4954.190363,3679764.0,82726.0
ferret,kite_small_noci_cload_picky_hops,,81336000.0,23651.0,4550.67304,1238351.0,151768.0
ferret,mesh_noci_cload_picky_hops,,88606000.0,28908.0,7979.80077,1393466.0,166308.0
ferret,ns_s_latop_noci_cload_picky_hops,,81113000.0,23455.0,4529.257438,1234434.0,151322.0
ferret,ns_s_bwop_noci_cload_picky_hops,,81682000.0,23617.0,4555.238732,1241656.0,152460.0
fluidanimate,mesh_noci_cload_picky_hops,,23405500.0,46806.0,8504.529155,2439074.0,46806.0
fluidanimate,kite_small_noci_cload_picky_hops,,23203500.0,46402.0,4896.167788,2417527.0,46402.0
fluidanimate,ns_s_bwop_noci_cload_picky_hops,,23227500.0,46450.0,4895.632547,2419997.0,46450.0
fluidanimate,ns_s_latop_noci_cload_picky_hops,,23222000.0,46439.0,4868.593707,2419438.0,46439.0
raytrace,ns_s_bwop_noci_cload_picky_hops,,41975000.0,83949.0,4387.644686,193585.0,83949.0
raytrace,kite_small_noci_cload_picky_hops,,42148000.0,84295.0,4397.643037,194290.0,84295.0
raytrace,ns_s_latop_noci_cload_picky_hops,,41979000.0,83957.0,4368.955594,193625.0,83957.0
raytrace,mesh_noci_cload_picky_hops,,44833500.0,89666.0,7645.313546,209422.0,89666.0
streamcluster,ns_s_latop_noci_cload_picky_hops,,30998000.0,61994.0,4677.663368,342081.0,61994.0
streamcluster,ns_s_bwop_noci_cload_picky_hops,,30996000.0,61990.0,4692.972518,342036.0,61990.0
streamcluster,mesh_noci_cload_picky_hops,,33100500.0,66199.0,8298.578406,379914.0,66199.0
streamcluster,kite_small_noci_cload_picky_hops,,31262000.0,62522.0,4686.511636,346097.0,62522.0
swaptions,kite_small_noci_cload_picky_hops,,17719500.0,35170.0,4674.997492,907831.0,35191.0
swaptions,ns_s_latop_noci_cload_picky_hops,,17719000.0,35178.0,4646.558158,907816.0,35190.0
swaptions,ns_s_bwop_noci_cload_picky_hops,,17719000.0,35138.0,4655.548384,907316.0,35190.0
swaptions,mesh_noci_cload_picky_hops,,17843500.0,35439.0,7811.150348,915790.0,35439.0
canneal,ns_s_bwop_noci_cload_picky_hops,,32230000.0,12777.0,4628.215482,2591100.0,64457.0
canneal,ns_s_latop_noci_cload_picky_hops,,32252500.0,12875.0,4614.349412,2592998.0,64502.0
canneal,kite_small_noci_cload_picky_hops,,32238000.0,12821.0,4638.308981,2591784.0,64473.0
canneal,mesh_noci_cload_picky_hops,,32565500.0,15540.0,7914.831012,2620703.0,65128.0
freqmine,kite_small_noci_cload_picky_hops,,70009500.0,28112.0,4652.675744,597155.0,140017.0
freqmine,mesh_noci_cload_picky_hops,,77095500.0,33605.0,7806.350563,661095.0,154189.0
freqmine,ns_s_bwop_noci_cload_picky_hops,,69944500.0,28271.0,4641.346834,596741.0,139887.0
freqmine,ns_s_latop_noci_cload_picky_hops,,70011500.0,28113.0,4619.657108,597132.0,140021.0
vips,ns_s_bwop_noci_cload_picky_hops,,1316102500.0,11062.0,4769.440354,1251254.0,329224.0
vips,ns_s_latop_noci_cload_picky_hops,,1314875000.0,10971.0,4748.131368,1252182.0,329195.0
vips,kite_small_noci_cload_picky_hops,,1316069000.0,11022.0,4779.240848,1252930.0,329136.0
vips,mesh_noci_cload_picky_hops,,1311623500.0,13782.0,8111.088121,1457707.0,339374.0
x264,ns_s_bwop_noci_cload_picky_hops,,107359500.0,214717.0,4737.930637,2379261.0,214717.0
x264,ns_s_latop_noci_cload_picky_hops,,107627000.0,215252.0,4713.854551,2385514.0,215252.0
x264,kite_small_noci_cload_picky_hops,,107669500.0,215337.0,4746.92189,2386204.0,215337.0
x264,mesh_noci_cload_picky_hops,,124767500.0,249253.0,8190.980657,2771122.0,249533.0
