bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
bodytrack,ns_m_scop_noci_augmclb_hops,,42243841500.0,20343131.0,40647.865637,1313576041.0,60295896.0
bodytrack,ns_s_latop_noci_augmclb_hops,,42432335000.0,20302451.0,36516.115704,1288588384.0,59260332.0
bodytrack,ns_l_latop_noci_augmclb_hops,,42662897000.0,20526546.0,40451.200186,1314411413.0,60911477.0
bodytrack,ns_m_bwop_noci_augmclb_hops,,44182478000.0,20484427.0,44335.015493,1312762198.0,60313590.0
bodytrack,butter_donut_x_noci_augmclb_hops,,43460934000.0,21553306.0,43545.874692,1379523928.0,60983307.0
bodytrack,mesh_noci_naive_hops,,45056002500.0,22358154.0,73044.547332,1453705890.0,62082159.0
bodytrack,ns_s_scop_noci_augmclb_hops,,42071582000.0,20062261.0,33241.690403,1284061922.0,59547584.0
bodytrack,lpbt_s_power_noci_augmclb_hops,,43135508000.0,21120805.0,46826.555299,1349854564.0,59234099.0
bodytrack,ns_s_bwop_noci_augmclb_hops,,42149237500.0,20438883.0,35697.274315,1294488553.0,58921070.0
bodytrack,ns_l_bwop_noci_augmclb_hops,,42707056000.0,20731468.0,40087.769867,1321773263.0,61227405.0
bodytrack,ns_m_latop_noci_augmclb_hops,,43837067500.0,20990435.0,43442.255381,1331670862.0,60435468.0
bodytrack,ns_l_scop_noci_augmclb_hops,,43148911000.0,20989446.0,41359.101239,1315052403.0,60824547.0
bodytrack,lpbt_s_latop_noci_augmclb_hops,,42331547500.0,21189762.0,45322.728492,1366921566.0,59358118.0
bodytrack,ft_x_noci_augmclb_hops,,42389466500.0,20888658.0,49139.042275,1347945815.0,60506033.0
bodytrack,kite_large_noci_augmclb_hops,,42941714500.0,21044097.0,39892.035929,1359801968.0,61027861.0
bodytrack,kite_small_noci_augmclb_hops,,41481378500.0,19739527.0,34115.134333,1285034623.0,59237094.0
bodytrack,kite_medium_noci_augmclb_hops,,42484911500.0,20685009.0,43669.794914,1330349627.0,60966156.0
bodytrack,lpbt_m_latop_noci_augmclb_hops,,43077139500.0,21763668.0,50957.18783,1357827668.0,60389372.0
bodytrack,dbl_bfly_x_noci_augmclb_hops,,45724586500.0,22946030.0,55155.085752,1448793183.0,62999940.0
canneal,ns_l_latop_noci_augmclb_hops,
canneal,ns_m_scop_noci_augmclb_hops,
canneal,ns_m_bwop_noci_augmclb_hops,
canneal,mesh_noci_naive_hops,
canneal,ns_s_latop_noci_augmclb_hops,
canneal,ns_l_scop_noci_augmclb_hops,
canneal,lpbt_s_power_noci_augmclb_hops,
canneal,ns_m_latop_noci_augmclb_hops,
canneal,lpbt_m_latop_noci_augmclb_hops,
canneal,ns_s_scop_noci_augmclb_hops,
canneal,ns_s_bwop_noci_augmclb_hops,
canneal,lpbt_s_latop_noci_augmclb_hops,
canneal,ns_l_bwop_noci_augmclb_hops,
canneal,kite_medium_noci_augmclb_hops,
canneal,kite_small_noci_augmclb_hops,
canneal,kite_large_noci_augmclb_hops,
canneal,butter_donut_x_noci_augmclb_hops,
canneal,ft_x_noci_augmclb_hops,
canneal,dbl_bfly_x_noci_augmclb_hops,
streamcluster,ns_l_bwop_noci_augmclb_hops,,31863101000.0,120951.0,23382.978438,71908257.0,63726202.0
streamcluster,ns_l_scop_noci_augmclb_hops,,31909366500.0,125624.0,23198.566001,71976315.0,63818733.0
streamcluster,ns_l_latop_noci_augmclb_hops,,31782469000.0,120693.0,23790.371492,71704828.0,63564938.0
streamcluster,lpbt_s_latop_noci_augmclb_hops,,31459671000.0,109303.0,20077.70034,70578362.0,62919342.0
streamcluster,ns_m_bwop_noci_augmclb_hops,,31883980000.0,109616.0,22543.678381,71803907.0,63767960.0
streamcluster,lpbt_m_latop_noci_augmclb_hops,,31624524000.0,119218.0,22771.879097,71326095.0,63249048.0
streamcluster,kite_small_noci_augmclb_hops,,31264880500.0,107557.0,19673.351901,69945023.0,62529761.0
streamcluster,ns_s_latop_noci_augmclb_hops,,31416772500.0,112623.0,20185.718645,70241020.0,62833545.0
streamcluster,ns_m_scop_noci_augmclb_hops,,31704203500.0,114141.0,21890.525349,71395576.0,63408407.0
streamcluster,lpbt_s_power_noci_augmclb_hops,,31650478500.0,106102.0,20173.311773,70811558.0,63300957.0
streamcluster,ns_s_scop_noci_augmclb_hops,,31320675000.0,113931.0,19177.000751,70108299.0,62641350.0
streamcluster,ns_s_bwop_noci_augmclb_hops,,31164818500.0,110539.0,20749.155578,69691171.0,62329637.0
