bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
bodytrack,mesh_noci_cload_picky_hops,,491582500.0,983162.0,13695.589477,59982786.0,983162.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,424914000.0,849825.0,10100.414553,51842469.0,849825.0
bodytrack,kite_small_noci_cload_picky_hops,
bodytrack,ns_s_bwop_noci_cload_picky_hops,,439426000.0,877714.0,10144.830094,53609069.0,878849.0
canneal,ns_s_bwop_noci_cload_picky_hops,,3621212000.0,61309.0,8733.104308,19329701.0,7242423.0
canneal,kite_small_noci_cload_picky_hops,,3642486000.0,61400.0,8845.553739,19409239.0,7284971.0
canneal,ns_s_latop_noci_cload_picky_hops,,3633166500.0,61113.0,8748.864048,19370782.0,7266332.0
canneal,mesh_noci_cload_picky_hops,,4739483000.0,82180.0,12599.36124,25959076.0,9478965.0
ferret,mesh_noci_cload_picky_hops,,3202181000.0,102133.0,12728.164437,15254128.0,6400260.0
ferret,kite_small_noci_cload_picky_hops,,2753119500.0,80751.0,8824.604722,12004572.0,5502137.0
ferret,ns_s_latop_noci_cload_picky_hops,,2723422500.0,80623.0,8762.996285,11909519.0,5442743.0
ferret,ns_s_bwop_noci_cload_picky_hops,,2738483500.0,79000.0,8737.412305,11739715.0,5472865.0
freqmine,ns_s_latop_noci_cload_picky_hops,,518663000.0,14127.0,8743.507512,1620190.0,1037325.0
freqmine,ns_s_bwop_noci_cload_picky_hops,,512705500.0,14221.0,8748.702011,1604022.0,1025410.0
freqmine,mesh_noci_cload_picky_hops,,560393000.0,16985.0,12698.176058,1871758.0,1120785.0
freqmine,kite_small_noci_cload_picky_hops,,511747000.0,14199.0,8777.442442,1603054.0,1023493.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,,2995857500.0,119536.0,8715.745617,14070369.0,5991713.0
blackscholes,ns_s_latop_noci_cload_picky_hops,,3007136000.0,118841.0,8743.071215,14060829.0,6014270.0
blackscholes,kite_small_noci_cload_picky_hops,,3000640500.0,119250.0,8794.517082,14044528.0,6001279.0
blackscholes,mesh_noci_cload_picky_hops,,476837500.0,17520.0,12198.358549,6902592.0,953673.0
