bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
fluidanimate,ft_x_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3684387000.0,6818090.0,5939.854464,401487353.0,7368770.0
fluidanimate,kite_large_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3679781000.0,6821859.0,5778.560038,401009364.0,7359558.0
fluidanimate,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3676600000.0,6812140.0,5549.788642,400567925.0,7353196.0
fluidanimate,mesh_noci_naive_hops,,3697354000.0,6835509.0,5969.648997,402151662.0,7394704.0
fluidanimate,butter_donut_x_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3681547500.0,6818724.0,5859.511903,401338550.0,7363091.0
fluidanimate,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3676599000.0,6810132.0,5442.763132,400282084.0,7353194.0
fluidanimate,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3679746000.0,6819336.0,5779.162232,400904122.0,7359488.0
fluidanimate,dbl_bfly_x_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3688315000.0,6825049.0,6054.560128,401967570.0,7376626.0
fluidanimate,kite_medium_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3680394500.0,6818686.0,5886.053964,401122697.0,7360785.0
fluidanimate,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3677617500.0,6818367.0,5589.941499,400693714.0,7355231.0
fluidanimate,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3674048000.0,6807719.0,5472.04712,400178800.0,7348092.0
fluidanimate,kite_small_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3672887500.0,6804434.0,5473.056321,400108648.0,7345771.0
fluidanimate,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,3680482000.0,6814327.0,5741.273613,400945819.0,7360960.0
swaptions,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2580810500.0,5161618.0,6368.168726,330343612.0,5161618.0
swaptions,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2577209500.0,5154416.0,6036.764804,329882689.0,5154416.0
swaptions,kite_large_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2584222000.0,5168441.0,6450.124307,330780289.0,5168441.0
swaptions,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2581049000.0,5162095.0,6219.25693,330374145.0,5162095.0
swaptions,butter_donut_x_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2585853000.0,5171703.0,6502.791696,330989057.0,5171703.0
swaptions,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2582546500.0,5165090.0,6418.456552,330565825.0,5165090.0
swaptions,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2575973500.0,5151944.0,6007.849985,329724481.0,5151944.0
swaptions,mesh_noci_naive_hops,,2580064500.0,5160126.0,6373.228168,330248129.0,5160126.0
swaptions,dbl_bfly_x_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2590316000.0,5180629.0,6668.398285,331560321.0,5180629.0
swaptions,ft_x_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2586029500.0,5172056.0,6553.969746,331011649.0,5172056.0
swaptions,kite_medium_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,2583679500.0,5167356.0,6527.298447,330710849.0,5167356.0
