bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
canneal,ns_s_latop_noci_cload_picky_hops,,307157500.0,16815.0,8320.868167,2656414.0,614312.0
canneal,ns_s_bwop_noci_cload_picky_hops,,307186500.0,17934.0,8283.871396,2657018.0,614370.0
canneal,mesh_noci_cload_picky_hops,,307552500.0,21494.0,11498.790438,2773595.0,615102.0
canneal,kite_small_noci_cload_picky_hops,,307166000.0,16642.0,8691.375583,2658087.0,614329.0
bodytrack,ns_s_bwop_noci_cload_picky_hops,,841559000.0,1140758.0,15477.227709,67524174.0,1510951.0
bodytrack,mesh_noci_cload_picky_hops,,805371500.0,968541.0,16434.634881,58192616.0,1488527.0
bodytrack,kite_small_noci_cload_picky_hops,,844899000.0,1087798.0,15278.919494,64436792.0,1573267.0
bodytrack,ns_s_latop_noci_cload_picky_hops,,816627500.0,935025.0,15515.262902,60889038.0,1358228.0
ferret,mesh_noci_cload_picky_hops,,3159195500.0,62746.0,11964.529216,13603909.0,6308345.0
ferret,kite_small_noci_cload_picky_hops,,2840119500.0,52008.0,8969.812527,12313105.0,5670193.0
ferret,ns_s_latop_noci_cload_picky_hops,,2771458500.0,65063.0,8636.592792,12540384.0,5532871.0
ferret,ns_s_bwop_noci_cload_picky_hops,,2737810000.0,52311.0,8488.410711,12160884.0,5465574.0
freqmine,kite_small_noci_cload_picky_hops,,531161500.0,12995.0,8465.050864,1895383.0,1062322.0
freqmine,ns_s_bwop_noci_cload_picky_hops,,533278000.0,13231.0,8409.234851,1895174.0,1066555.0
freqmine,ns_s_latop_noci_cload_picky_hops,,532284500.0,13153.0,8408.131481,1893370.0,1064568.0
freqmine,mesh_noci_cload_picky_hops,,578014500.0,16537.0,11934.973949,2240056.0,1156028.0
blackscholes,ns_s_bwop_noci_cload_picky_hops,
blackscholes,ns_s_latop_noci_cload_picky_hops,
blackscholes,kite_small_noci_cload_picky_hops,
blackscholes,mesh_noci_cload_picky_hops,
