bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
bodytrack,ns_l_latop_noci_augmclb_hops,,42662897000.0,20526546.0,40451.200186,1314411413.0,60911477.0
bodytrack,ns_m_scop_noci_augmclb_hops,,42243841500.0,20343131.0,40647.865637,1313576041.0,60295896.0
bodytrack,mesh_noci_naive_hops,,45056002500.0,22358154.0,73044.547332,1453705890.0,62082159.0
bodytrack,ns_s_latop_noci_augmclb_hops,,42432335000.0,20302451.0,36516.115704,1288588384.0,59260332.0
bodytrack,dbl_bfly_x_noci_augmclb_hops,,45724586500.0,22946030.0,55155.085752,1448793183.0,62999940.0
bodytrack,butter_donut_x_noci_augmclb_hops,,43460934000.0,21553306.0,43545.874692,1379523928.0,60983307.0
bodytrack,ft_x_noci_augmclb_hops,,42389466500.0,20888658.0,49139.042275,1347945815.0,60506033.0
bodytrack,kite_large_noci_augmclb_hops,,42941714500.0,21044097.0,39892.035929,1359801968.0,61027861.0
bodytrack,kite_medium_noci_augmclb_hops,,42484911500.0,20685009.0,43669.794914,1330349627.0,60966156.0
bodytrack,lpbt_m_latop_noci_augmclb_hops,,43077139500.0,21763668.0,50957.18783,1357827668.0,60389372.0
bodytrack,kite_small_noci_augmclb_hops,,41481378500.0,19739527.0,34115.134333,1285034623.0,59237094.0
bodytrack,lpbt_s_power_noci_augmclb_hops,,43135508000.0,21120805.0,46826.555299,1349854564.0,59234099.0
bodytrack,lpbt_s_latop_noci_augmclb_hops,,42331547500.0,21189762.0,45322.728492,1366921566.0,59358118.0
bodytrack,ns_l_scop_noci_augmclb_hops,,43148911000.0,20989446.0,41359.101239,1315052403.0,60824547.0
bodytrack,ns_m_latop_noci_augmclb_hops,,43837067500.0,20990435.0,43442.255381,1331670862.0,60435468.0
bodytrack,ns_s_scop_noci_augmclb_hops,,42071582000.0,20062261.0,33241.690403,1284061922.0,59547584.0
