sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_015,5201.896671,5108.495425,5149550.0,5149566.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_005,4963.829229,4873.081022,1715985.0,1715988.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_025,5490.667025,5398.60377,8580329.0,8580342.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_035,5860.554915,5779.914826,12013455.0,12013492.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_045,6350.738122,6307.558321,15445213.0,15445257.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_055,7062.104971,7123.303719,18876452.0,18876503.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_065,8222.546385,8578.681147,22305942.0,22306016.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_075,12722.189365,15424.553748,25738796.0,25738931.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_085,12415417.75976,20974404.54033,28585325.0,28585514.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_095,44872317.769165,78517368.740773,30432834.0,30433089.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_105,74445727.107969,135261463.6453,32058755.0,32059076.0
2b,mixed,mem,kite_large,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_115,103229540.651393,195005298.770892,33547350.0,33547684.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_015,5045.170094,4945.17089,5149552.0,5149566.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_005,4846.940622,4749.631147,1715986.0,1715988.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_025,5281.871789,5187.919375,8580331.0,8580342.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_035,5583.470423,5510.226118,12013459.0,12013492.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_045,5988.942143,5967.090601,15445217.0,15445257.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_055,6603.758688,6711.294923,18876453.0,18876503.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_065,7696.671314,8159.465498,22305950.0,22306016.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_075,11710.444469,14306.816431,25738809.0,25738927.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_085,24389359.803445,41464496.160895,28333239.0,28333449.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_095,58951992.006188,103812928.777567,30178530.0,30178801.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_105,92094960.285396,169033057.350576,31668489.0,31668793.0
2b,mixed,mem,ns_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_115,117720666.368066,225694285.477839,33002561.0,33002870.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_005,4933.249747,4834.49357,1715986.0,1715988.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_015,5126.588901,5022.972898,5149551.0,5149566.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_025,5355.974957,5256.241753,8580329.0,8580342.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_035,5643.099556,5559.146414,12013458.0,12013492.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_045,6018.19259,5974.204046,15445217.0,15445257.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_055,6553.755033,6603.898341,18876451.0,18876503.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_065,7405.781189,7691.220679,22305949.0,22306016.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_075,9339.691809,10459.196405,25738822.0,25738931.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_085,9762421.223245,16406847.256257,28801529.0,28801685.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_095,42212096.070816,74352785.341373,30167827.0,30168067.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_105,73445971.986481,135225549.988427,31550428.0,31550695.0
2b,mixed,mem,kite_medium,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_115,98026359.060373,187732613.350283,33041378.0,33041670.0
