sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_1,6145.792359,6032.791638,15081430.0,15081485.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_11,6322.143705,6218.839229,16591080.0,16591119.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_12,6525.720808,6440.246055,18103818.0,18103882.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_13,6763.232138,6706.424406,19614898.0,19614965.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_14,7042.666588,7029.891111,21125646.0,21125709.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_15,7379.537867,7435.367836,22635622.0,22635702.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_16,7796.834474,7957.930244,24146877.0,24146967.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_17,8343.559445,8676.461055,25656839.0,25656920.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_18,9087.712517,9705.533827,27165123.0,27165222.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_19,10256.39672,11418.20356,28674964.0,28675098.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_2,12697.410292,15224.024067,30184192.0,30184316.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_21,276213.894097,454210.586633,31686504.0,31686664.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_22,11730607.427842,19699701.130407,32817563.0,32817746.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_23,30413343.41941,51787376.52625,33639437.0,33639625.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_24,49962141.80283,86420947.579447,34343197.0,34343384.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_25,69391909.147564,122083182.980641,34965842.0,34966010.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6,0_26
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_1,4192.68422,4101.126474,15081452.0,15081488.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_11,4342.160959,4263.904238,16591090.0,16591119.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_12,4517.125125,4459.645592,18103842.0,18103882.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_13,4724.059746,4699.022419,19614918.0,19614965.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_14,4973.713919,4997.235809,21125667.0,21125710.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_15,5282.399174,5381.221986,22635653.0,22635705.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_16,5672.161234,5886.333507,24146907.0,24146967.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_17,6202.655257,6606.944721,25656865.0,25656927.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_18,6975.876854,7712.716925,27165148.0,27165230.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_19,8362.853288,9817.238184,28674986.0,28675104.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_2,15186.64528,20959.729,30184214.0,30184335.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_21,8175836.046997,13698351.062332,31431604.0,31431761.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_22,25632454.14757,43544472.337648,32283915.0,32284078.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_23,42642067.919014,73549581.070979,33042172.0,33042352.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_24,59788089.962943,104790744.818887,33738808.0,33739009.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_25,75707635.7613,134906489.669301,34392112.0,34392308.0
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_26
2b,mixed,coh,lpbt_s_power,mclb_hops_4_6,0_27
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_11,5967.488418,5846.315381,16591077.0,16591119.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_1,5826.988542,5702.595,15081434.0,15081488.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_12,6125.978646,6011.980663,18103821.0,18103882.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_13,6306.690083,6205.756958,19614904.0,19614965.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_14,6514.235507,6434.740494,21125652.0,21125710.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_15,6757.800141,6711.263049,22635630.0,22635704.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_16,7046.521747,7050.349962,24146890.0,24146966.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_17,7405.053384,7490.51518,25656848.0,25656925.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_18,7850.547215,8059.265742,27165133.0,27165224.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_19,8456.064579,8873.136212,28674995.0,28675113.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_2,9346.050364,10136.64101,30184226.0,30184336.0
2b,mixed,coh,ns_m_scop,mclb_hops_4_6,0_21,10867.793084,12428.050458,31694333.0,31694463.0
