sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_01,7613.972439,7422.410874,755112.0,755113.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_02,7704.628615,7508.592177,1509783.0,1509788.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_03,7799.655476,7598.455752,2262963.0,2262975.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_04,7895.579,7689.076745,3015896.0,3015904.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_05,7998.02559,7786.476703,3769076.0,3769090.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_06,8098.895211,7883.680539,4522969.0,4522993.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_07,8205.303394,7986.836932,5278125.0,5278140.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_08,8314.075717,8093.715609,6033791.0,6033822.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_09,8424.165683,8204.526092,6788912.0,6788934.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_1,8543.141752,8324.07753,7542217.0,7542249.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_11,8666.424648,8450.333209,8296275.0,8296305.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_12,8797.483018,8585.268277,9051429.0,9051459.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_13,8936.11164,8732.198447,9806380.0,9806428.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_14,9084.408237,8890.863991,10561980.0,10562017.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_15,9242.331325,9062.471723,11318030.0,11318081.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_16,9412.331667,9251.740558,12072617.0,12072676.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_17,9597.783519,9463.579489,12827634.0,12827693.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_18,9793.953136,9690.566651,13581675.0,13581731.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_19,10017.390501,9956.314834,14337226.0,14337283.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_2,10268.665274,10261.992695,15090338.0,15090413.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_21,10550.002817,10613.09087,15845455.0,15845528.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_22,10875.37649,11034.12878,16600719.0,16600788.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_23,11254.540701,11536.158827,17354135.0,17354229.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_24,11716.813965,12168.783341,18107805.0,18107908.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_25,12292.344249,12982.157691,18861907.0,18862010.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_26,13056.591261,14101.563572,19615838.0,19615939.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_27,14126.753826,15716.350989,20368522.0,20368608.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_28,15844.623228,18395.936254,21124031.0,21124133.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_29,19048.466147,23540.925635,21877342.0,21877454.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_31,1221914.068948,2029618.328141,23361810.0,23361955.0
2b,mixed,coh,ns_s_scop,mclb_hops_4_6,0_3,28737.741923,39475.178828,22633052.0,22633182.0
