sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_2
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_21
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_22
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_23,140140371.714276,22870750.0,22871068.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_01,6847.024423,1509215.0,1509220.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_02,7103.469008,3018918.0,3018926.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_03,7406.058798,4525632.0,4525646.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_04,7780.452784,6032711.0,6032735.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_05,8257.102267,7539479.0,7539512.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_06,8908.407259,9044950.0,9044986.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_07,9869.696115,10554075.0,10554127.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_08,11548.552459,12063967.0,12064039.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_09,16682.258334,13574195.0,13574300.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_1,16945779.806855,14667099.0,14667306.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_11,26845217.76017,15366295.0,15366518.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_12,48186492.985243,16087541.0,16087810.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_13,69793756.788714,16667862.0,16668123.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_14,88189717.987916,17311390.0,17311659.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_15,101499759.812239,17949549.0,17949816.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_16,112222852.269016,18579709.0,18580001.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_17,121733248.954326,19184650.0,19184928.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_18,128961522.067407,19784657.0,19784988.0
2b,same,mem,ns_s_bwop,mclb_hops_4_6,0_19,132407892.373625,20382821.0,20383126.0
2b,same,mem,kite_large,mclb_hops_4_6,0_21
2b,same,mem,kite_large,mclb_hops_4_6,0_2
2b,same,mem,kite_large,mclb_hops_4_6,0_22
2b,same,mem,kite_large,mclb_hops_4_6,0_23,155526625.839485,25697831.0,25698132.0
2b,same,mem,kite_large,mclb_hops_4_6,0_01,6358.884544,1509216.0,1509220.0
2b,same,mem,kite_large,mclb_hops_4_6,0_02,6569.545365,3018919.0,3018926.0
2b,same,mem,kite_large,mclb_hops_4_6,0_03,6812.026706,4525632.0,4525646.0
2b,same,mem,kite_large,mclb_hops_4_6,0_04,7093.300266,6032711.0,6032735.0
2b,same,mem,kite_large,mclb_hops_4_6,0_05,7428.273992,7539484.0,7539512.0
2b,same,mem,kite_large,mclb_hops_4_6,0_06,7835.828114,9044957.0,9044986.0
2b,same,mem,kite_large,mclb_hops_4_6,0_07,8344.423362,10554085.0,10554127.0
2b,same,mem,kite_large,mclb_hops_4_6,0_08,9008.350548,12063993.0,12064039.0
2b,same,mem,kite_large,mclb_hops_4_6,0_09,9920.84547,13574237.0,13574301.0
2b,same,mem,kite_large,mclb_hops_4_6,0_1,11317.029177,15081369.0,15081484.0
2b,same,mem,kite_large,mclb_hops_4_6,0_11,14830.409093,16591041.0,16591117.0
2b,same,mem,kite_large,mclb_hops_4_6,0_12,4965791.006287,17948889.0,17949045.0
2b,same,mem,kite_large,mclb_hops_4_6,0_13,18094188.942488,19047686.0,19047897.0
2b,same,mem,kite_large,mclb_hops_4_6,0_14,39984980.860137,19837619.0,19837862.0
2b,same,mem,kite_large,mclb_hops_4_6,0_15,59538686.452547,20583605.0,20583891.0
2b,same,mem,kite_large,mclb_hops_4_6,0_16,79047989.432797,21277034.0,21277318.0
2b,same,mem,kite_large,mclb_hops_4_6,0_17,98354657.738135,21912431.0,21912747.0
2b,same,mem,kite_large,mclb_hops_4_6,0_18,114242682.526791,22560895.0,22561182.0
2b,same,mem,kite_large,mclb_hops_4_6,0_19,126006408.383716,23199717.0,23200036.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_2
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_21
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_22,151608090.769374,23039378.0,23039680.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_23,119573968.071824,18525000.0,18525315.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_01,6344.507978,1509216.0,1509220.0
