sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_01,5313.907359,5200.894509,1509218.0,1509220.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_02,5411.198517,5291.088964,3018921.0,3018926.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_03,5515.756482,5388.132623,4525636.0,4525646.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_04,5629.46833,5495.392259,6032717.0,6032735.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_05,5753.798292,5614.669154,7539491.0,7539512.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_06,5892.797095,5749.534319,9044966.0,9044987.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_07,6047.423405,5902.673091,10554098.0,10554127.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_08,6219.585844,6076.477756,12064004.0,12064044.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_09,6416.423709,6279.423342,13574260.0,13574305.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_1,6648.516207,6526.107739,15081420.0,15081481.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_11,6919.026961,6821.20574,16591076.0,16591119.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_12,7243.491518,7187.969141,18103815.0,18103882.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_13,7639.499503,7651.393941,19614893.0,19614964.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_14,8141.530707,8265.957086,21125638.0,21125708.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_15,8807.674087,9125.044705,22635601.0,22635692.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_16,9763.539733,10434.657938,24146846.0,24146956.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_17,11501.268788,13007.624799,25656791.0,25656900.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_18,735016.964949,1219257.109585,27146520.0,27146658.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_19,5511156.56864,9215533.380214,28508502.0,28508673.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_2,19661880.444162,33243443.475151,29546993.0,29547162.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_21,38418067.625405,65951652.299517,30362894.0,30363084.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_22,58700673.082446,102555929.219672,31057007.0,31057198.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_23,77723614.586684,138288712.768192,31704676.0,31704887.0
2b,mixed,mem,ns_l_scop,mclb_hops_4_6,0_24,95096030.371855,172359877.832292,32322604.0,32322831.0
