sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_01,3127.85385,3031.380405,1509220.0,1509220.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_02,3182.726293,3082.668994,3018925.0,3018926.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_03,3242.041384,3138.460243,4525638.0,4525646.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_04,3305.227811,3197.952129,6032722.0,6032735.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_05,3374.151268,3263.455867,7539503.0,7539512.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_06,3449.832737,3336.274184,9044974.0,9044987.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_07,3533.199471,3417.66425,10554108.0,10554127.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_08,3622.898866,3506.363118,12064020.0,12064044.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_09,3724.230559,3608.593638,13574278.0,13574306.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_1,3837.691322,3724.959191,15081455.0,15081488.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_11,3965.649019,3858.572034,16591095.0,16591119.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_12,4113.908818,4017.213891,18103837.0,18103882.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_13,4285.904056,4206.566361,19614924.0,19614965.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_14,4485.840632,4432.743303,21125671.0,21125710.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_15,4727.314269,4715.356445,22635651.0,22635704.0
2b,same,mem,ns_m_bwop,mclb_hops_4_6,0_16,5027.518855,5080.835291,24146906.0,24146967.0
