sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_01,9251.398208,772021.0,772027.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_02,9383.279563,1543764.0,1543771.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_03,9533.734053,2313731.0,2313739.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_04,9699.957043,3084173.0,3084184.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_05,9881.546238,3854313.0,3854327.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_06,10082.395828,4625447.0,4625470.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_07,10308.820843,5397301.0,5397324.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_08,10563.050948,6170150.0,6170176.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_09,10847.389941,6942442.0,6942468.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_1,11174.041546,7712839.0,7712878.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_11,11558.379894,8483346.0,8483382.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_12,12015.322263,9256188.0,9256228.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_13,12579.448105,10028272.0,10028309.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_14,13284.655054,10800482.0,10800535.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_15,14236.807417,11573179.0,11573257.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_16,15588.690099,12344834.0,12344902.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_17,17876.810253,13118001.0,13118087.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_18,24072.554105,13888270.0,13888389.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_19,3294813.745412,14612712.0,14612830.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_2,17135158.102364,15161781.0,15161923.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_21,38559650.114104,15554388.0,15554534.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_22,58290873.16268,15923184.0,15923329.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_23,76372828.046205,16283303.0,16283468.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_24,92282110.428833,16633617.0,16633804.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_25,106211007.210366,16983673.0,16983830.0
2b,mixed,mem,dbl_bfly_x,naive_hops_3_4,0_26,118462761.46234,17331847.0,17332025.0
