sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,kite_small,cload_hops_4_6,0_21,12485.35909,16204094.0,16204177.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_2,11862.729824,15432473.0,15432552.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_22,13298.852235,16976524.0,16976641.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_23,14472.527176,17746731.0,17746842.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_24,16392.427734,18517649.0,18517782.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_25,22852.972363,19288906.0,19289035.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_26,2601754.183326,20008433.0,20008563.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_27,10112975.031352,20609416.0,20609602.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_28,20930539.80551,21113249.0,21113456.0
2b,mixed,mem,kite_small,cload_hops_4_6,0_29,33121586.561023,21561919.0,21562130.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_2,12792.016613,15432458.0,15432552.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_21,13438.760315,16204078.0,16204174.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_22,14291.420556,16976513.0,16976644.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_23,15476.000234,17746719.0,17746844.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_24,17418.603455,18517659.0,18517783.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_25,22364.433383,19288949.0,19289084.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_26,1660250.017146,20028859.0,20029017.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_27,11466138.290155,20589015.0,20589208.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_28,24385813.521923,21050558.0,21050773.0
2b,mixed,mem,butter_donut_x,cload_hops_4_6,0_29,39306516.410601,21426847.0,21427058.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_21,11979.258556,16204100.0,16204177.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_2,11515.356928,15432481.0,15432552.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_22,12558.596053,16976545.0,16976644.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_23,13326.141224,17746738.0,17746845.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_24,14561.551543,18517674.0,18517788.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_25,17423.413803,19288937.0,19289065.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_26,442793.529228,20052665.0,20052774.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_27,4802517.457355,20727736.0,20727874.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_28,9231825.862423,21383231.0,21383404.0
2b,mixed,mem,ns_l_scop,cload_hops_4_6,0_29,16485957.49224,21968530.0,21968682.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_21,18379.810562,16204046.0,16204172.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_2,16404.700895,15432431.0,15432553.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_22,23462.394436,16976432.0,16976608.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_23,3508123.057832,17685559.0,17685757.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_24,14935002.494185,18195447.0,18195667.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_25,31704735.030372,18577626.0,18577861.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_26,48712481.01912,18923208.0,18923430.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_27,65026161.321389,19255361.0,19255640.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_28,80813860.101355,19580883.0,19581133.0
2b,mixed,mem,dbl_bfly_x,cload_hops_4_6,0_29,94674364.511195,19903395.0,19903648.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_2,53902828.112934,14088956.0,14089189.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_21,73214950.516581,14411630.0,14411898.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_22,95484410.631949,14655817.0,14656073.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_23,116520868.870039,14868254.0,14868493.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_24,138921349.239143,14990782.0,14991078.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_25,165106971.458332,15047799.0,15048117.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_26,193168081.594014,15080827.0,15081131.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_27,219753186.407438,15120129.0,15120436.0
2b,mixed,mem,lpbt_s_power,cload_hops_4_6,0_28,244269006.704849,15164175.0,15164496.0
