sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_1,78732200.579485,33707005.0,33707176.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_11,109053593.72633,35106243.0,35106427.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_12,133410723.50099,36849579.0,36849782.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_13,151090561.460124,38719796.0,38720029.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_14,177278214.07501,40532885.0,40533141.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_15,209993647.245535,42186815.0,42187068.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_16,238620507.653489,43752040.0,43752343.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_17,265506455.882152,45224207.0,45224484.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_18,283937254.553765,46702063.0,46702346.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_19,296405976.196931,48144386.0,48144645.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_2,304306991.31912,49620253.0,49620523.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_21,309937803.710046,51094860.0,51095156.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_22,312632675.466289,52562868.0,52563193.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_23
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_24
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_25
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_26
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_27
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_28
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_29
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_3
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_31,19241098.44741,1935236.0,1935668.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_01,6844.544366,3593279.0,3593288.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_02,7092.864485,7186376.0,7186390.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_03,7387.1276,10780200.0,10780209.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_04,7750.141594,14373868.0,14373888.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_05,8213.6602,17964686.0,17964713.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_06,8844.350266,21557173.0,21557215.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_07,9826.679963,25149903.0,25149954.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_08,12422.263508,28745570.0,28745638.0
5b,same,mem,ns_s_bwop,cload_hops_4_6,0_09,29688824.08104,31637015.0,31637143.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_1,26751699.9879,35445020.0,35445258.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_11,111270101.132317,37154859.0,37155119.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_12,181141435.574463,38711383.0,38711661.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_13,232573124.580395,40248598.0,40248882.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_14,264400329.010808,41764122.0,41764434.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_15,291596769.112069,43262028.0,43262322.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_16,286096855.859698,40159657.0,40159979.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_17,342358255.526642,46157885.0,46158206.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_18,359685878.935658,47598238.0,47598539.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_19,370944792.324217,49029696.0,49029989.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_2,366849676.130806,49046140.0,49046446.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_21,380134717.810062,51915489.0,51915831.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_22
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_23,376476206.073454,54795871.0,54796199.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_24
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_25
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_26
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_27
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_28
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_29
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_3,212335465.222763,34568819.0,34569306.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_02,7430.049307,7186379.0,7186390.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_01,7140.468288,3593279.0,3593288.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_03,7781.488866,10780199.0,10780209.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_04,8219.421693,14373867.0,14373888.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_05,8793.340224,17964683.0,17964713.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_06,9587.492535,21557164.0,21557215.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_07,10791.79025,25149901.0,25149954.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_08,12883.418655,28745547.0,28745637.0
5b,same,mem,dbl_bfly_x,cload_hops_4_6,0_09,18045.581191,32339740.0,32339849.0
5b,same,mem,kite_small,cload_hops_4_6,0_1,14852.455092,35929344.0,35929446.0
5b,same,mem,kite_small,cload_hops_4_6,0_11,9644357.573071,39345833.0,39346045.0
5b,same,mem,kite_small,cload_hops_4_6,0_12,73794812.415375,41339420.0,41339656.0
5b,same,mem,kite_small,cload_hops_4_6,0_13,127657061.009044,43035445.0,43035714.0
5b,same,mem,kite_small,cload_hops_4_6,0_14,185109921.133905,44648277.0,44648573.0
5b,same,mem,kite_small,cload_hops_4_6,0_15,233930807.171848,46263931.0,46264250.0
5b,same,mem,kite_small,cload_hops_4_6,0_16,267782553.533048,47797321.0,47797635.0
5b,same,mem,kite_small,cload_hops_4_6,0_17,296390533.734083,49273678.0,49273991.0
5b,same,mem,kite_small,cload_hops_4_6,0_18,323789579.432834,50751663.0,50751981.0
5b,same,mem,kite_small,cload_hops_4_6,0_19,346888372.770288,52190841.0,52191174.0
5b,same,mem,kite_small,cload_hops_4_6,0_2,364328476.186222,53630704.0,53631027.0
5b,same,mem,kite_small,cload_hops_4_6,0_21,375073122.39771,55081195.0,55081478.0
5b,same,mem,kite_small,cload_hops_4_6,0_22,382191028.128825,56535086.0,56535408.0
5b,same,mem,kite_small,cload_hops_4_6,0_23
5b,same,mem,kite_small,cload_hops_4_6,0_24,388410092.49474,59432979.0,59433339.0
5b,same,mem,kite_small,cload_hops_4_6,0_25
5b,same,mem,kite_small,cload_hops_4_6,0_26
5b,same,mem,kite_small,cload_hops_4_6,0_27
5b,same,mem,kite_small,cload_hops_4_6,0_28
5b,same,mem,kite_small,cload_hops_4_6,0_29
5b,same,mem,kite_small,cload_hops_4_6,0_3,228381545.285812,41025948.0,41026384.0
5b,same,mem,kite_small,cload_hops_4_6,0_02,7022.792739,7186379.0,7186390.0
5b,same,mem,kite_small,cload_hops_4_6,0_01,6790.791093,3593279.0,3593288.0
5b,same,mem,kite_small,cload_hops_4_6,0_03,7290.378891,10780201.0,10780209.0
5b,same,mem,kite_small,cload_hops_4_6,0_04,7609.58061,14373868.0,14373888.0
5b,same,mem,kite_small,cload_hops_4_6,0_05,7998.410153,17964684.0,17964713.0
5b,same,mem,kite_small,cload_hops_4_6,0_06,8489.705699,21557175.0,21557215.0
