sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_01,6273.968333,1796775.0,1796780.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_02,6380.188454,3592481.0,3592486.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_03,6493.373286,5387407.0,5387415.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_04,6612.521577,7182069.0,7182082.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_05,6739.687411,8976429.0,8976437.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_06,6875.886627,10769881.0,10769898.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_07,7021.998389,12566414.0,12566433.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_08,7179.472768,14364649.0,14364668.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_09,7348.316427,16162289.0,16162314.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_1,7533.854215,17955933.0,17955963.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_11,7737.66096,19753203.0,19753233.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_12,7961.439502,21550707.0,21550732.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_13,8209.843194,23350702.0,23350730.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_14,8486.511675,25149595.0,25149637.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_15,8797.696737,26947560.0,26947591.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_16,9153.291415,28745526.0,28745574.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_17,9562.826192,30545702.0,30545755.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_18,10034.872915,32340979.0,32341032.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_19,10594.055666,34139308.0,34139366.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_2,11266.306402,35935706.0,35935754.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_21,12099.122286,37733743.0,37733844.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_22,13161.090299,39530780.0,39530867.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_23,14607.001262,41327072.0,41327154.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_24,16783.345343,43124491.0,43124616.0
5b,same,coh,ns_m_scop,mclb_hops_4_6,0_25,20827.704263,44919650.0,44919786.0
