sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_01,3237.882603,3141.454781,3593285.0,3593288.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_02,3285.55139,3185.658415,7186385.0,7186391.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_03,3336.050673,3232.500381,10780207.0,10780210.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_04,3389.91815,3282.696392,14373882.0,14373889.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_05,3447.219269,3336.651091,17964707.0,17964715.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_06,3507.733769,3393.888136,21557199.0,21557216.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_07,3573.158028,3456.447862,25149937.0,25149959.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_08,3642.741006,3523.419834,28745616.0,28745640.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_09,3717.874687,3597.296092,32339830.0,32339856.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_1,3799.076382,3677.644682,35929422.0,35929451.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_11,3888.172941,3767.22498,39522755.0,39522783.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_12,3986.082222,3867.402202,43118141.0,43118172.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_13,4094.108479,3979.910377,46714636.0,46714669.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_14,4214.303251,4107.461556,50310348.0,50310389.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_15,4349.573549,4254.762571,53908389.0,53908435.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_16,4502.072668,4424.337061,57504910.0,57504951.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_17,4676.97533,4624.764197,61103053.0,61103110.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_18,4880.310345,4864.175164,64693365.0,64693427.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_19,5117.748916,5153.088368,68286804.0,68286858.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_2,5407.648312,5518.612549,71879225.0,71879296.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_21,5764.464824,5986.49732,75469952.0,75470014.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_22,6230.068378,6624.052491,79065058.0,79065127.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_23,6875.549151,7550.318531,82659346.0,82659434.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_24,7899.598746,9094.402541,86252023.0,86252117.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_25,10043.868453,12493.188613,89844013.0,89844135.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_26,24081.649413,35702.224603,93433021.0,93433171.0
5b,same,coh,ns_s_bwop,mclb_hops_4_6,0_27,21732386.397355,36434463.973014,96155331.0,96155477.0
