sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_1,7237.175249,7180.934335,6034148.0,6034168.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_11,7634.389573,7695.788109,6637055.0,6637087.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_12,8224.329479,8507.524619,7240590.0,7240616.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_13,9222.131414,9965.137002,7844464.0,7844503.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_14,12684.6175,15484.101756,8448597.0,8448637.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_15,3159169.132466,5270698.240851,9024170.0,9024214.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_16,7695133.835836,12890432.896082,9575149.0,9575207.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_17,15621215.131945,26342212.518521,10082420.0,10082482.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_18,29864093.06182,50947577.67289,10498258.0,10498325.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_19,41320652.504984,71271791.036743,10912370.0,10912436.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_2,51360329.017423,89555359.044364,11320777.0,11320855.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_21,59889514.657795,105536864.205352,11720531.0,11720605.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_22,66665850.999934,118646075.85762,12123110.0,12123190.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_23,71991478.411644,129362454.716165,12523634.0,12523715.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_24,76113933.98716,137996069.568741,12923810.0,12923891.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_25,79287671.304278,144982855.75938,13320065.0,13320162.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_26,81599982.289704,150418536.4083,13721462.0,13721546.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_27,83104459.007253,154357230.339712,14121653.0,14121735.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_28,84266141.708883,157666487.257452,14522694.0,14522792.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_29,84953464.156898,160040274.520316,14919033.0,14919123.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_1,6013.660614,5773.343802,7542201.0,7542217.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_11,6077.613751,5834.047604,8295899.0,8295925.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_12,6146.346332,5900.622997,9050557.0,9050581.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_13,6218.987728,5972.322509,9806277.0,9806308.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_14,6298.202171,6052.872541,10561677.0,10561705.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_15,6386.114595,6143.945181,11316152.0,11316185.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_16,6479.054089,6242.266895,12069562.0,12069594.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_17,6582.047241,6354.141104,12825448.0,12825483.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_18,6698.487266,6484.374766,13578107.0,13578142.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_19,6823.785116,6627.674099,14333928.0,14333970.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_2,6970.385174,6801.249062,15088432.0,15088480.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_21,7131.033311,6995.272515,15841868.0,15841913.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_22,7319.352042,7230.692987,16598198.0,16598252.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_23,7540.558431,7515.194338,17352396.0,17352451.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_24,7807.753275,7869.898508,18106435.0,18106485.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_25,8124.682927,8302.831896,18861663.0,18861736.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_26,8545.052751,8897.773802,19616797.0,19616869.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_27,9128.105658,9752.167318,20369772.0,20369832.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_28,10006.328759,11082.507452,21124950.0,21125031.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_29,11670.693393,13692.993421,21878705.0,21878788.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_1,8576.197568,8392.662626,7542220.0,7542249.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_11,8933.433519,8784.027167,8296276.0,8296305.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_12,9364.051748,9269.471906,9051430.0,9051459.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_13,9881.40647,9871.356669,9806378.0,9806428.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_14,10515.788472,10639.724381,10561970.0,10562017.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_15,11341.846428,11684.226015,11318029.0,11318081.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_16,12436.205583,13132.799213,12072600.0,12072674.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_17,14030.711944,15355.589505,12827611.0,12827692.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_18,16678.818989,19260.883513,13581620.0,13581728.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_19,25248.034684,32922.089403,14337059.0,14337184.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_2,8926285.627252,14960742.834851,14951682.0,14951850.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_21,26921543.841952,45833629.446292,15356610.0,15356798.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_22,44554008.906371,77131074.960864,15721597.0,15721794.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_23,60162571.609393,105896138.613418,16074404.0,16074646.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_24,75059794.112296,134413306.475166,16402831.0,16403050.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_25,89144586.625884,162484786.058296,16715955.0,16716201.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_26,101575247.234405,188328594.429946,17035291.0,17035518.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_27,113748186.250003,214603750.382633,17338390.0,17338611.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_28,124878405.643294,239709964.187654,17638718.0,17638956.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_29,134099058.683999,261835727.196926,17938290.0,17938522.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_1,7885.983792,7650.672732,7542221.0,7542249.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_11,8114.881201,7886.172506,8296282.0,8296305.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_12,8366.378686,8150.145011,9051427.0,9051459.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_13,8646.983498,8449.50389,9806384.0,9806427.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_14,8961.486996,8791.845924,10561980.0,10562017.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_15,9319.005131,9191.221306,11318034.0,11318081.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_16,9726.884704,9658.744856,12072621.0,12072674.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_17,10212.958746,10235.974817,12827630.0,12827693.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_18,10762.630016,10906.592648,13581660.0,13581729.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_19,11444.284276,11771.831189,14337216.0,14337283.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_2,12270.020179,12852.383405,15090313.0,15090405.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_21,13325.461621,14295.880151,15845436.0,15845525.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_22,14757.746775,16339.0521,16600692.0,16600783.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_23,16888.24732,19522.946083,17354114.0,17354224.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_24,20943.572314,25884.627353,18107727.0,18107866.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_25,59580.45655,89864.283561,18861436.0,18861597.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_26,8692248.567757,14562510.414531,19449024.0,19449198.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_27,25901719.404154,43945396.56243,19840090.0,19840253.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_28,44587698.489748,76735424.180109,20166574.0,20166752.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_29,61701523.102981,107731989.871427,20480108.0,20480287.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_1,8485.676196,8364.593927,6034143.0,6034167.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_11,9129.543391,9179.706002,6637059.0,6637087.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_12,10261.242446,10756.315151,7240583.0,7240613.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_13,14395.955379,17274.895257,7844460.0,7844503.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_14,3988788.342134,6657212.926748,8413465.0,8413527.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_15,11436051.125604,19220349.113019,8936378.0,8936440.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_16,20381193.299865,34540029.996103,9418030.0,9418096.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_17,29930568.838353,51209471.519439,9876676.0,9876756.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_18,40221885.514759,69547164.970614,10303526.0,10303606.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_19,49881952.878392,87218883.95826,10712483.0,10712567.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_2,60575315.274179,107267810.367391,11092100.0,11092189.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_21,71094870.704301,127619073.124154,11445679.0,11445758.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_22,79755659.398407,145000878.663702,11803789.0,11803877.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_23,86645868.790118,159497654.130679,12159916.0,12160001.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_24,92065323.010262,171452218.536381,12516566.0,12516653.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_25,96166675.740327,181116703.485543,12868291.0,12868394.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_26,99298393.955696,188988493.351263,13228117.0,13228208.0
