sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,mem,mclb_hops_4_6,ns_s_scop,uniform_random,0_01,6699.501023,6505.631992,690405.0,690406.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_01,6500.621301,6308.203907,755112.0,755113.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_02,6593.209473,6395.100974,1509785.0,1509788.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_03,6693.900302,6488.911212,2262965.0,2262975.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_04,6799.117856,6586.840287,3015896.0,3015904.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_05,6915.563149,6695.643714,3769077.0,3769090.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_06,7034.274203,6807.729329,4522970.0,4522993.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_07,7163.324589,6930.490552,5278128.0,5278140.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_08,7300.318117,7062.57399,6033795.0,6033822.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_09,7443.555785,7203.027847,6788917.0,6788934.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_1
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_01,6653.595773,6465.441362,629042.0,629045.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_01,6404.931374,6211.966532,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_02,6477.532563,6271.781274,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_03,6566.522686,6351.621587,2263043.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_04,6665.444192,6439.418592,3016278.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_05,6779.770242,6543.818031,3770303.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_06,6917.130333,6673.68513,4523944.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_07,7082.467073,6836.778812,5278272.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_08,7290.101037,7052.781726,6033126.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_09,7559.854264,7350.287742,6788429.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_1
2b,same,mem,mclb_hops_4_6,ns_s_scop,shuffle,0_01,5968.858733,5773.368677,753915.0,753916.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_01,5830.575353,5640.662119,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_02,5886.990388,5693.330603,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_03,5946.624536,5745.595783,2263041.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_04,6014.90713,5806.303213,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_05,6090.507156,5876.88333,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_06,6173.22997,5955.056727,4523946.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_07,6270.122422,6048.618925,5278277.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_08,6383.868209,6163.937796,6033125.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_09,6520.69222,6309.327945,6788433.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,shuffle,0_1
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_01,6652.361905,6464.296848,683063.0,683066.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_01,6415.692309,6232.321893,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_02,6504.274547,6316.617869,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_03,6608.382735,6420.324342,2263040.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_04,6725.349329,6538.579246,3016278.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_05,6862.005965,6678.272693,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_06,7034.334513,6867.180381,4523945.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_07,7246.071481,7107.952471,5278275.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_08,7541.894522,7470.198635,6033118.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_09,7984.519716,8054.398995,6788428.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_1
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_01,6650.188616,6453.928119,688086.0,688089.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_01,5784.532897,5600.112302,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_02,5847.353047,5660.762769,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_03,5916.07524,5727.265367,2263043.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_04,5996.000824,5802.638929,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_05,6082.14599,5887.097872,3770301.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_06,6177.171668,5982.504188,4523946.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_07,6292.787196,6102.999203,5278272.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_08,6428.178506,6250.202927,6033124.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_09,6585.565546,6427.593167,6788434.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_1
2b,same,mem,mclb_hops_4_6,ns_m_scop,neighbor,0_01,6268.605437,6081.265573,665595.0,665598.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_01,6403.304276,6215.8484,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_02,6477.321906,6282.197472,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_03,6560.110356,6360.323716,2263040.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_04,6654.91601,6449.068932,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_05,6763.080252,6552.147669,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_06,6889.305607,6676.711105,4523945.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_07,7039.062898,6830.057245,5278276.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_08,7226.02653,7031.074731,6033120.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_09,7452.327481,7285.549017,6788429.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,neighbor,0_1
2b,same,mem,mclb_hops_4_6,ns_m_scop,uniform_random,0_01,6305.171625,6110.947752,728916.0,728917.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_01,6258.258928,6065.815162,755112.0,755113.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_02,6343.271033,6145.362791,1509785.0,1509788.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_03,6435.332084,6229.28937,2262966.0,2262975.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_04,6531.611243,6318.212613,3015896.0,3015904.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_05,6635.154745,6414.177062,3769079.0,3769090.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_06,6742.435944,6513.770564,4522970.0,4522993.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_07,6857.215001,6621.582751,5278129.0,5278140.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_08,6980.736712,6738.60507,6033797.0,6033822.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_09,7108.039576,6862.28949,6788914.0,6788934.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,uniform_random,0_1
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_01,6268.144388,6081.009483,690887.0,690888.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_01,5714.022863,5524.227224,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_02,5759.88485,5560.714537,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_03,5812.223994,5606.73211,2263042.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_04,5870.518475,5656.653214,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_05,5932.478756,5710.09136,3770304.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_06,6003.379774,5774.217748,4523946.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_07,6083.979641,5848.317933,5278277.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_08,6177.536037,5938.62339,6033124.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_09,6285.533915,6046.862559,6788435.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_1
2b,same,mem,mclb_hops_4_6,ns_m_scop,transpose,0_01,6312.163545,6116.873224,677369.0,677374.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_01,5497.508393,5307.8211,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_02,5551.514071,5357.061728,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_03,5609.620912,5407.98326,2263042.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_04,5676.745698,5467.389554,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_05,5748.626841,5533.222208,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_06,5827.56228,5606.377943,4523947.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,transpose,0_07,5919.896929,5694.893999,5278274.0,5278288.0
