sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_09,15380450.124212,26058270.176113,24110356.0,24110620.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_01,8752.363583,8631.36439,2745408.0,2745415.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_02,9023.656459,8932.555462,5489431.0,5489453.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_03,9344.100458,9295.207067,8235749.0,8235795.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_04,9743.894096,9761.999718,10980110.0,10980147.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_05,10276.503719,10414.495486,13724725.0,13724779.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_06,11209.110349,11636.316571,16742684.0,16742762.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_07,12656.954514,13639.632263,19213506.0,19213607.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_08,16897.733274,19380.966292,21961635.0,21961753.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_1,23976801.710427,41141807.875058,26311734.0,26312026.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_11,33031633.861272,57408094.934357,28442573.0,28443089.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_12,56225257.248952,100653645.97559,29854831.0,29855419.0
2b,mixed,mem,ns_l_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_13
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_01,9374.187689,9236.598605,2745407.0,2745415.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_02,10030.411269,9991.232342,5489429.0,5489453.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_03,11259.10056,11495.949807,8235729.0,8235795.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_04,16220.449752,18311.147254,10980094.0,10980147.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_05,20678158.661372,35228719.255943,13280315.0,13280711.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_06,94131940.025404,130391992.150457,14061587.0,14062272.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_07,128316878.019443,163740296.838862,14631176.0,14632175.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_08,186030921.442314,219823899.752695,14437938.0,14438910.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_09,241840069.000163,275037477.313731,14179510.0,14180529.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_11,355544823.977556,389222620.136057,13851708.0,13852729.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_1,302227176.754314,337368981.569168,13953733.0,13954767.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_12,405506715.746288,437843848.807195,13769048.0,13770044.0
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_13
2b,mixed,mem,lpbt_s_power_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_14,484052907.903745,523923723.269964,13657716.0,13658792.0
2b,mixed,mem,ns_s_bwop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_02,9224.323281,9130.313218,5489428.0,5489453.0
2b,mixed,mem,ns_s_bwop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_01,8822.22563,8671.513701,2745407.0,2745415.0
2b,mixed,mem,ns_s_bwop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_03,9778.930497,9782.983428,8235747.0,8235795.0
2b,mixed,mem,ns_s_bwop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_04,10682.994859,10899.297852,10980109.0,10980147.0
2b,mixed,mem,ns_s_bwop_noci,augmclb_hops_4_6_64cpus_4xdirs_2.0GHz,0_05,12726.704899,13576.98295,13724710.0,13724779.0
