sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_02,5598.295109,5575.332134,10983049.0,10983075.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_01,5289.964461,5224.264635,5492874.0,5492892.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_03,6092.808161,6191.641007,16476517.0,16476565.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_04,7169.883654,7695.720591,21967683.0,21967760.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_05,9641.215867,11329.272687,27456550.0,27456697.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_06,4785598.348856,7999188.673097,32762285.0,32762634.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_07,44360645.252241,78777992.598481,35179514.0,35179972.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_08,63319969.434917,118911491.301967,37580767.0,37581310.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_09
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_1,118379764.371965,246567019.447954,42242676.0,42243318.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_11,133770033.752768,292757273.452676,44487810.0,44488443.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_12,142258224.256515,326352906.329074,46731241.0,46731926.0
2b,mixed,mem,kite_small_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_13
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_01,6074.908522,6029.301457,5492873.0,5492892.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_02,6921.406731,7100.396311,10983043.0,10983075.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_03,11386.231615,13913.862866,16476471.0,16476565.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_04,31643796.734007,56179563.377151,20116304.0,20116637.0
2b,mixed,mem,lpbt_m_latop_noci,augmclb_hops_4_6_64cpus_4xdirs_4.0GHz,0_05,58248223.362494,111749581.571593,22934917.0,22935391.0
