sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_19
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_01,5678.393893,5603.043707,5492873.0,5492892.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_02,6058.840815,6011.634397,10983048.0,10983075.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_03,6614.749918,6644.42655,16476515.0,16476565.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_04,7561.833931,7816.795456,21967680.0,21967760.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_05,9872.313394,11027.845187,27456576.0,27456697.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_06,816912.214352,1355448.964086,32915722.0,32916038.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_07,47550027.330856,83510025.337789,35692342.0,35692855.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_08,88561272.346261,165029172.775976,37917204.0,37917810.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_09,111096710.33017,218633066.932365,40188274.0,40188922.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_1
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_005,5527.467598,5447.122155,2746973.0,2746981.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_015,5853.581532,5788.716773,8238597.0,8238619.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_025,6307.550347,6288.82986,13729739.0,13729777.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_035,7013.594864,7123.81462,19223492.0,19223553.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_045,8398.102598,8934.349505,24714077.0,24714179.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_055,12694.680883,15201.529202,30200857.0,30201032.0
2b,mixed,mem,ns_l_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_065,26297269.928212,44812107.398961,34538297.0,34538770.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_01,5651.271976,5591.68713,5492873.0,5492892.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_02,6218.436332,6272.160583,10983047.0,10983075.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_03,8654.374672,9869.873734,16476503.0,16476565.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_04,20350566.732868,34727604.868409,21219315.0,21219610.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_05,56945036.220557,105209369.190131,23935448.0,23935853.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_06,75048669.602318,147769402.071548,26771602.0,26772053.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_07,98621917.317297,207718108.986864,29264966.0,29265501.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_08,107193703.67954,241870572.382351,31553432.0,31554072.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_09,114678114.352716,276961492.553682,33734905.0,33735594.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_1
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_11,159147597.589397,351638617.709648,36600887.0,36601658.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_005,5478.656605,5404.713556,2746974.0,2746981.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_015,5882.095221,5856.33234,8238591.0,8238619.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_025,6837.192004,7117.716473,13729728.0,13729777.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_035,13443.674648,17297.839765,19223435.0,19223553.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_045,43683871.698608,77663302.800627,22589414.0,22589771.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_055,68806177.014291,131420958.607428,25348829.0,25349245.0
2b,mixed,mem,lpbt_s_power_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_065,87601272.066506,177841112.138249,28127414.0,28127993.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_01,5668.496341,5578.719527,5492873.0,5492892.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_02,6030.505654,5968.642865,10983046.0,10983075.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_03,6588.243551,6614.473645,16476510.0,16476565.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_04,7656.657499,7981.574854,21967678.0,21967760.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_05,10904.299987,12644.748299,27456548.0,27456697.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_06,19854172.853703,33624511.832671,32163258.0,32163779.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_07,47565399.458444,90385742.225813,32442635.0,32443098.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_08,65220815.70517,130011979.580598,35254840.0,35255449.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_09
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_1
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_005,5530.104045,5436.52575,2746973.0,2746981.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_015,5833.510811,5753.641068,8238595.0,8238619.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_025,6274.128339,6243.724558,13729737.0,13729777.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_035,7018.888208,7147.018319,19223489.0,19223553.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_045,8753.359097,9505.050737,24714086.0,24714179.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_055,16266.440649,20833.515557,30200799.0,30201032.0
2b,mixed,mem,ns_m_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_065,30095703.624307,54129145.494125,32141525.0,32142035.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_02,6560.015267,6676.860117,10983047.0,10983075.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_01,5829.526947,5779.085358,5492874.0,5492892.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_03,11886.021966,14911.941152,16476473.0,16476565.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_04,53644034.78481,95884217.412327,19944194.0,19944698.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_05,96167372.854231,191958868.180263,22004519.0,22005054.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_06,112669674.206836,246239800.369492,24288922.0,24289556.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_07,114413486.22922,272033063.725418,26527727.0,26528337.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_08,112069207.632498,286759167.283016,28840920.0,28841543.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_09,106285963.932377,290448402.401739,31174691.0,31175345.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_1
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_11,180347696.14246,348948476.831512,31711581.0,31712536.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_005,5618.837219,5547.443719,2746974.0,2746981.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_015,6116.48861,6114.746231,8238593.0,8238619.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_025,7533.41073,8062.635267,13729721.0,13729777.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_035,19757765.538073,33598680.381763,18660309.0,18660635.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_045,74555399.786077,141470593.971592,20896338.0,20896878.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_055,105559019.716423,220482284.735588,23171204.0,23171783.0
2b,mixed,mem,lpbt_s_latop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_065,118788828.27177,270602079.782887,25440558.0,25441186.0
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_01
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_02
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_03
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_04
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_05
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_06
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_07
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_08
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_09
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_1
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_005
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_015
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_025
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_035
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_045
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_055
2b,mixed,mem,mesh_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_065
2b,mixed,mem,ns_l_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_01,5736.42345,5666.52957,5492872.0,5492892.0
2b,mixed,mem,ns_l_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_02,6135.14219,6104.278253,10983045.0,10983075.0
2b,mixed,mem,ns_l_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_03,6723.500684,6791.480199,16476510.0,16476565.0
2b,mixed,mem,ns_l_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_04,7768.198088,8125.304874,21967692.0,21967760.0
2b,mixed,mem,ns_l_scop_noci,picky_cohmem_prioritized_doubley_memory_mclb_hops_6_8_64cpus_4xdirs_4.0GHz,0_05,10375.440232,11812.830122,27456554.0,27456697.0
