sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_01,9632.53006,2299538.0,2299550.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_02,10065.957037,4597413.0,4597439.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_03,10640.341171,6895445.0,6895475.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_04,11468.170114,9194016.0,9194073.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_05,12813.509119,11492531.0,11492586.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_06,15899.12975,13791094.0,13791198.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_07,14407513.13042,15671571.0,15671792.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_08,30371979.676221,17240632.0,17241028.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_09,36847600.62121,18067369.0,18067863.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_1,67843425.708873,18731491.0,18732158.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_11,98043110.333255,19192423.0,19193093.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_12,126761620.151686,19647505.0,19648381.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_13,156722867.179346,19107774.0,19108698.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_14,191228295.097056,19212441.0,19213397.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_15,217499512.130763,19314389.0,19315414.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_16,243164773.001331,19472451.0,19473443.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_17,272312060.659514,19584251.0,19585313.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_18,299147149.599125,19700221.0,19701285.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_19,327963799.095463,19793590.0,19794746.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_2,357361141.704249,19808704.0,19809834.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_21,384911021.786937,19788897.0,19790024.0
2b,mixed,mem,ns_m_bwop_noci,cload_picky,0_22,408586930.044908,19777092.0,19778222.0
2b,mixed,mem,lpbt_20r_5p_15ll_total_hops_runsol_noci,cload_picky,0_01,8857.90827,1868478.0,1868671.0
