sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_01,8591.986855,772022.0,772027.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_02,8768.694908,1543762.0,1543771.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_03,8961.895851,2313730.0,2313739.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_04,9176.084072,3084173.0,3084184.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_05,9416.184044,3854313.0,3854327.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_06,9688.955977,4625449.0,4625470.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_07,10013.239206,5397307.0,5397324.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_08,10404.88026,6170146.0,6170176.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_09,10914.926026,6942442.0,6942470.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_1,11621.857302,7712837.0,7712878.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_11,12925.555854,8483342.0,8483384.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_12,31919.937447,9255945.0,9256033.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_13,10623255.862053,9878464.0,9878583.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_14,44833218.131832,9903394.0,9903625.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_15,79418088.722948,10162938.0,10163228.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_16,127991815.502792,9780366.0,9780692.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_17,150468344.073752,10170045.0,10170368.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_18,173693891.848213,10564964.0,10565359.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_19,208557295.542821,10567137.0,10567546.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_2,237895058.098717,10595289.0,10595711.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_21,257265583.639785,10649170.0,10649596.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_22,284995944.557773,10641342.0,10641762.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_23,315318558.749584,10609856.0,10610278.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_24,343030648.10157,10594437.0,10594859.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_25,369592600.677727,10590157.0,10590554.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_26,398262008.737931,10554338.0,10554774.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_27,422175443.114762,10563329.0,10563770.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_28,449490085.924501,10517193.0,10517645.0
2b,mixed,mem,lpbt_s_latop,naive_hops_3,0_29,469583852.398573,10509976.0,10510442.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_01,8545.495467,772021.0,772027.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_02,8714.034399,1543760.0,1543771.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_03,8899.270065,2313730.0,2313739.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_04,9100.562204,3084174.0,3084184.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_05,9331.868055,3854314.0,3854327.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_06,9593.592662,4625449.0,4625470.0
2b,mixed,mem,lpbt_s_power,naive_hops_3,0_07,9898.298467,5397306.0,5397324.0
