sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_01,8024.294624,772022.0,772027.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_02,8154.31107,1543766.0,1543771.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_03,8293.94588,2313731.0,2313739.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_04,8446.106395,3084173.0,3084184.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_05,8608.261988,3854312.0,3854327.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_06,8784.539421,4625451.0,4625470.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_07,8979.557844,5397305.0,5397324.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_08,9193.415984,6170156.0,6170176.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_09,9432.355517,6942442.0,6942468.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_1,9702.276074,7712846.0,7712878.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_11,10015.472168,8483348.0,8483382.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_12,10379.362953,9256196.0,9256228.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_13,10815.177998,10028283.0,10028309.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_14,11351.008484,10800481.0,10800534.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_15,12053.630444,11573192.0,11573254.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_16,13045.90111,12344850.0,12344909.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_17,14749.481998,13118021.0,13118098.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_18,19202.822921,13888304.0,13888402.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_19,2044878.434276,14633952.0,14634047.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_2,19685721.464074,15114204.0,15114334.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_21,40802329.348341,15487704.0,15487827.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_22,59566905.735718,15859476.0,15859616.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_23,77106273.802092,16208648.0,16208816.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_24,92566739.213288,16555420.0,16555590.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_25,106761339.743966,16910179.0,16910314.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_26,119019837.758644,17240873.0,17241030.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_27,129577267.632592,17588766.0,17588912.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_28,139058547.187099,17930814.0,17930979.0
2b,mixed,coh,lpbt_s_latop,bsorm_hops_3_4,0_29,146508086.844816,18283374.0,18283555.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_01,8641.076223,772022.0,772027.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_02,8733.3827,1543765.0,1543771.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_03,8833.436933,2313730.0,2313739.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_04,8941.326962,3084173.0,3084184.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_05,9054.92793,3854313.0,3854327.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_06,9180.110119,4625448.0,4625470.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_07,9315.576724,5397305.0,5397324.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_08,9461.888982,6170155.0,6170176.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_09,9619.049968,6942446.0,6942468.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_1,9794.791333,7712846.0,7712878.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_11,9988.523432,8483349.0,8483382.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_12,10203.08579,9256199.0,9256228.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_13,10442.38893,10028280.0,10028309.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_14,10715.123116,10800482.0,10800536.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_15,11028.843255,11573197.0,11573260.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_16,11385.196179,12344858.0,12344905.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_17,11818.230752,13118028.0,13118096.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_18,12329.760364,13888346.0,13888423.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_19,12981.413163,14660886.0,14660953.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_2,13831.830341,15432466.0,15432544.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_21,15022.415357,16204056.0,16204152.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_22,16872.087691,16976474.0,16976583.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_23,20443.527132,17746672.0,17746795.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_24,32766.445651,18517453.0,18517593.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_25,4520292.248051,19207115.0,19207234.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_26,21559657.811702,19643972.0,19644105.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_27,40641150.395743,20001274.0,20001405.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_28,58125891.880276,20349466.0,20349614.0
2b,mixed,coh,ns_m_bwop,bsorm_hops_3_4,0_29,73410607.383849,20703784.0,20703921.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_01,8611.588178,772022.0,772027.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_02,8703.296144,1543765.0,1543771.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_03,8803.965014,2313730.0,2313739.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_04,8910.976725,3084173.0,3084184.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_05,9025.556266,3854312.0,3854327.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_06,9149.079188,4625448.0,4625470.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_07,9285.489254,5397303.0,5397324.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_08,9431.48006,6170155.0,6170176.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_09,9589.359116,6942443.0,6942468.0
2b,mixed,coh,ns_m_latop,bsorm_hops_3_4,0_1,9765.329291,7712841.0,7712877.0
