sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_02,9134.573275,1543765.0,1543771.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_01,9036.985377,772021.0,772027.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_03,9243.359842,2313730.0,2313739.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_04,9360.229362,3084170.0,3084184.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_05,9486.146946,3854312.0,3854327.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_06,9620.023755,4625448.0,4625470.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_07,9767.759528,5397302.0,5397324.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_08,9926.874956,6170154.0,6170176.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_09,10099.378733,6942442.0,6942469.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_1,10293.175452,7712842.0,7712877.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_11,10507.868771,8483346.0,8483382.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_12,10746.269691,9256194.0,9256227.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_13,11012.620259,10028280.0,10028309.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_14,11320.540198,10800482.0,10800535.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_15,11674.428159,11573189.0,11573258.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_16,12084.716751,12344853.0,12344908.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_17,12592.261247,13118025.0,13118098.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_18,13192.952559,13888346.0,13888423.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_19,13981.283134,14660877.0,14660953.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_2,15081.448367,15432457.0,15432541.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_21,16712.962892,16204055.0,16204156.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_22,19698.446219,16976480.0,16976595.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_23,30155.432804,17746610.0,17746739.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_24,3900063.387062,18450998.0,18451128.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_25,18763925.097715,18936833.0,18936971.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_26,37894863.150646,19311249.0,19311392.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_27,56227669.186823,19657067.0,19657215.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_28,72228410.898921,20013764.0,20013916.0
2b,mixed,coh,lpbt_m_latop,cload_hops_3_4,0_29,86454770.564584,20361591.0,20361750.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_01,8484.10379,772021.0,772027.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_02,8567.892629,1543766.0,1543771.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_03,8665.083845,2313730.0,2313739.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_04,8773.841036,3084174.0,3084184.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_05,8893.53672,3854314.0,3854327.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_06,9023.569184,4625451.0,4625470.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_07,9170.722958,5397305.0,5397324.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_08,9331.127716,6170154.0,6170176.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_09,9505.574013,6942443.0,6942467.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_1,9700.581858,7712842.0,7712877.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_11,9918.680982,8483351.0,8483383.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_12,10164.00385,9256195.0,9256228.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_13,10435.480647,10028284.0,10028309.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_14,10750.394388,10800485.0,10800534.0
2b,mixed,coh,kite_large,cload_hops_3_4,0_15,11110.647219,11573191.0,11573257.0
