sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_01,7868.715565,772022.0,772027.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_02,7997.145147,1543764.0,1543771.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_03,8138.4679,2313731.0,2313739.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_04,8289.336006,3084174.0,3084184.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_05,8456.071743,3854315.0,3854327.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_06,8635.419141,4625449.0,4625470.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_07,8836.615336,5397308.0,5397324.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_08,9056.294275,6170152.0,6170176.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_09,9304.447544,6942446.0,6942470.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_1,9587.995266,7712847.0,7712878.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_11,9914.724487,8483348.0,8483382.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_12,10303.482634,9256196.0,9256228.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_13,10773.118975,10028285.0,10028308.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_14,11352.811851,10800481.0,10800535.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_15,12132.826385,11573186.0,11573259.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_16,13268.976521,12344851.0,12344905.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_17,15654.273764,13118005.0,13118089.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_18,101633.972688,13887845.0,13887960.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_19,7732615.311259,14532830.0,14532927.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_2,16755817.066303,15136837.0,15136951.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_21,29276169.500972,15662752.0,15662888.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_22,43944731.767405,16112374.0,16112514.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_23,57336984.627364,16538563.0,16538718.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_24,70751103.634562,16936389.0,16936565.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_25,85046702.641514,17300983.0,17301143.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_26,79477133.111825,14052548.0,14052720.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_4,0_27,29091354.530587,4417014.0,4417178.0
