sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_01,8172.431993,772022.0,772027.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_02,8264.840335,1543765.0,1543771.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_03,8375.285113,2313731.0,2313739.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_04,8495.708224,3084173.0,3084184.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_05,8628.152593,3854314.0,3854327.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_06,8775.195753,4625449.0,4625470.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_07,8939.759452,5397308.0,5397324.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_08,9118.269591,6170153.0,6170176.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_09,9316.902403,6942444.0,6942467.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_1,9540.402305,7712846.0,7712877.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_11,9789.294196,8483351.0,8483381.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_12,10075.100701,9256193.0,9256227.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_13,10401.268194,10028283.0,10028308.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_14,10778.649811,10800485.0,10800533.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_15,11222.912127,11573189.0,11573255.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_16,11745.669752,12344856.0,12344906.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_17,12397.61836,13118017.0,13118094.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_18,13201.71213,13888333.0,13888419.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_19,14280.180031,14660877.0,14660952.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_2,15770.108036,15432458.0,15432538.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_21,18125.16264,16204039.0,16204151.0
2b,mixed,mem,ns_l_bwop,cload_hops_4_6,0_22,22509.324072,16976437.0,16976563.0
