sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_01,7600.296209,772022.0,772027.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_02,7708.291503,1543766.0,1543771.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_03,7820.911718,2313732.0,2313739.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_04,7941.928262,3084174.0,3084184.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_05,8070.214537,3854316.0,3854327.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_06,8205.350291,4625451.0,4625470.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_07,8355.312775,5397306.0,5397324.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_08,8511.825615,6170159.0,6170176.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_09,8681.452376,6942445.0,6942468.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_1,8869.400646,7712848.0,7712878.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_11,9077.181672,8483353.0,8483383.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_12,9305.494342,9256200.0,9256228.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_13,9558.246747,5975129.0,5975178.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_14,9848.730357,1535617.0,1535662.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_2,13286.873446,15432466.0,15432548.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_21,14727.737838,16204069.0,16204152.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_22,17363.398147,16976437.0,16976545.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_23,25051.590502,17746643.0,17746760.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_24,3323260.399795,18459129.0,18459261.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_25,16502177.681726,18976836.0,18976963.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_26,32735556.397871,19401827.0,19401959.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_27,50568098.196749,19765349.0,19765470.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_28,66831503.238152,20120225.0,20120370.0
2b,mixed,coh,ns_s_bwop,naive_hops_3_4,0_29,81465172.044392,20469575.0,20469710.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_01,8124.076495,772022.0,772027.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_02,8201.388431,1543766.0,1543771.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_03,8290.103411,2313731.0,2313739.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_04,8390.073592,3084174.0,3084184.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_05,8497.691962,3854313.0,3854327.0
