sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_1,9222.268223,7712846.0,7712877.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_11,9417.696742,8483349.0,8483382.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_12,9636.458705,9256199.0,9256227.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_13,9881.580348,10028285.0,10028309.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_14,10158.628977,10800485.0,10800535.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_15,10483.569354,11573196.0,11573255.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_16,10851.289155,12344862.0,12344907.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_17,11298.935535,13118034.0,13118100.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_18,11831.317587,13888349.0,13888423.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_19,12514.794377,14660883.0,14660954.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_02,8201.370063,1543766.0,1543771.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_01,8124.05777,772022.0,772027.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_03,8289.910207,2313731.0,2313739.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_04,8389.571346,3084174.0,3084184.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_05,8497.524483,3854313.0,3854327.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_06,8615.171646,4625447.0,4625470.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_07,8747.67035,5397306.0,5397324.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_08,8890.242347,6170157.0,6170176.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_09,9047.803614,6942447.0,6942468.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_2,13411.613618,15432471.0,15432549.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_21,14695.323237,16204070.0,16204156.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_22,16849.955468,16976504.0,16976606.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_23,21974.597556,17746682.0,17746795.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_24,927847.254668,18501448.0,18501563.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_25,7682581.885453,19146604.0,19146730.0
2b,mixed,coh,ns_l_bwop,naive_hops_3_4,0_26,25225201.444066,19567590.0,19567711.0
