sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_01,7870.248122,772022.0,772027.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_02,7999.71884,1543764.0,1543771.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_03,8142.394475,2313731.0,2313739.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_04,8294.474029,3084174.0,3084184.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_05,8462.383749,3854314.0,3854327.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_06,8644.082097,4625450.0,4625470.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_07,8847.037707,5397308.0,5397324.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_08,9068.585516,6170156.0,6170176.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_09,9318.061923,6942445.0,6942467.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_1
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_11,9925.18762,8483352.0,8483382.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_12,10304.824727,9256198.0,9256227.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_13,10761.251568,10028283.0,10028309.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_14,11320.357653,10800482.0,10800536.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_15,12031.115433,11573178.0,11573255.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_16,12972.328708,12344855.0,12344907.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_17,14396.005218,13118024.0,13118094.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_18,16960.832264,13888300.0,13888395.0
2b,mixed,mem,naive_hops_3_4,ns_s_bwop,0_19,33903.8797,14660788.0,14660894.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_01,8547.927541,772021.0,772027.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_02,8723.563142,1543760.0,1543771.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_03,8921.44129,2313730.0,2313739.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_04,9141.497648,3084174.0,3084184.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_05,9398.46087,3854314.0,3854327.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_06,9695.115499,4625449.0,4625470.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_07,10051.012614,5397306.0,5397324.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_08,10484.726484,6170148.0,6170175.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_09,11049.679458,6942443.0,6942469.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_1
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_11,13118.505582,8483335.0,8483381.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_12,16303.796122,9256171.0,9256226.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_13,3617840.323818,9991277.0,9991349.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_14,24501849.606851,10507231.0,10507353.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_15,45159220.948535,10946119.0,10946260.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_16,67707486.16838,11287406.0,11287583.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_17,88154054.020163,11584332.0,11584508.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_18,132104853.059984,11454790.0,11454997.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_power,0_19,166643919.674894,11452072.0,11452303.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_01,8594.809987,772022.0,772027.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_02,8779.691647,1543762.0,1543771.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_03,8987.406109,2313730.0,2313739.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_04,9225.818583,3084173.0,3084184.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_05,9501.009137,3854313.0,3854327.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_06,9827.835902,4625450.0,4625470.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_07,10237.982785,5397305.0,5397324.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_08,10789.735758,6170147.0,6170176.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_09,11660.817563,6942439.0,6942467.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_11,81750.427162,8483278.0,8483348.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_1
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_12,35884470.020664,8788821.0,8788908.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_13,48394036.391076,9150384.0,9150471.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_14,62320507.02393,9508958.0,9509090.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_15,78834683.446336,9863444.0,9863570.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_16,91094080.245649,10193117.0,10193259.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_17,110597046.291108,10502250.0,10502433.0
2b,mixed,mem,naive_hops_3_4,lpbt_s_latop,0_18,160438283.642008,10413181.0,10413360.0
