sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_01,8122.785921,772022.0,772027.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_02,8195.973452,1543766.0,1543771.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_03,8276.672312,2313731.0,2313739.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_04,8364.741686,3084174.0,3084184.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_05,8457.795061,3854313.0,3854327.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_06,8555.448546,4625448.0,4625470.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_07,8664.769651,5397306.0,5397324.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_08,8779.162701,6170158.0,6170176.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_09,8901.059899,6942447.0,6942469.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_1,9034.044948,7712846.0,7712878.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_11,9179.124779,8483352.0,8483383.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_12,9337.843653,9256201.0,9256228.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_13,9506.420951,10028289.0,10028309.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_14,9695.002633,10800485.0,10800537.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_15,9903.265025,11573201.0,11573261.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_16,10129.957593,12344866.0,12344908.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_17,10389.932059,13118034.0,13118101.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_18,10673.702882,13888358.0,13888425.0
2b,mixed,coh,naive_hops_3_6,ns_l_bwop,0_19,11002.033519,14660890.0,14660957.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_01,7599.781996,772022.0,772027.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_02,7704.062525,1543766.0,1543771.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_03,7810.310209,2313732.0,2313739.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_04,7922.324239,3084174.0,3084184.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_05,8038.735169,3854316.0,3854327.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_06,8158.467773,4625451.0,4625470.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_07,8287.762666,5397307.0,5397324.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_08,8420.40006,6170157.0,6170176.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_09,8560.088976,6942446.0,6942469.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_1,8711.021674,7712849.0,7712878.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_11,8872.856081,8483354.0,8483383.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_12,9048.105706,9256201.0,9256228.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_13,9234.49145,10028289.0,10028309.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_14,9440.438553,10800487.0,10800537.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_15,9665.863009,11573201.0,11573261.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_16,9911.721522,12344862.0,12344908.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_17,10188.380591,13118040.0,13118101.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_18,10489.206036,13888358.0,13888425.0
2b,mixed,coh,naive_hops_3_6,ns_s_bwop,0_19,10841.636631,14660893.0,14660957.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_01,9116.974461,772021.0,772027.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_02,9212.516605,1543765.0,1543771.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_03,9316.88152,2313730.0,2313739.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_04,9424.717832,3084169.0,3084184.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_05,9538.257557,3854312.0,3854327.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_06,9656.795295,4625448.0,4625470.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_07,9785.077222,5397303.0,5397324.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_08,9918.428203,6170154.0,6170176.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_09,10061.09478,6942442.0,6942469.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_1,10216.838298,7712843.0,7712878.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_11,10383.817271,8483349.0,8483383.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_12,10568.424901,9256194.0,9256228.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_13,10764.609988,10028280.0,10028309.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_14,10984.651174,10800481.0,10800537.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_15,11226.626619,11573197.0,11573261.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_16,11493.906518,12344854.0,12344907.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_17,11803.163512,13118024.0,13118101.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_18,12139.546619,13888354.0,13888425.0
2b,mixed,coh,naive_hops_3_6,lpbt_m_latop,0_19,12538.706717,14660875.0,14660956.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_01,8892.889514,772022.0,772027.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_02,8988.091014,1543766.0,1543771.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_03,9094.214868,2313729.0,2313739.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_04,9208.466573,3084171.0,3084184.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_05,9330.577672,3854313.0,3854327.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_06,9463.82248,4625448.0,4625470.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_07,9610.309607,5397305.0,5397324.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_08,9763.774591,6170152.0,6170176.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_09,9929.334819,6942439.0,6942469.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_1,10112.090376,7712839.0,7712878.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_11,10308.729495,8483347.0,8483383.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_12,10524.183586,9256195.0,9256228.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_13,10755.984889,10028284.0,10028309.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_14,11013.637973,10800481.0,10800537.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_15,11299.246583,11573197.0,11573261.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_16,11612.976418,12344854.0,12344908.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_17,11973.550508,13118031.0,13118101.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_18,12369.257049,13888345.0,13888425.0
2b,mixed,coh,naive_hops_3_6,dbl_bfly_x,0_19,12829.813019,14660878.0,14660957.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_01,8611.094129,772022.0,772027.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_02,8699.144598,1543765.0,1543771.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_03,8793.728999,2313730.0,2313739.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_04,8890.679177,3084173.0,3084184.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_05,8992.040287,3854312.0,3854327.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_06,9098.031311,4625448.0,4625470.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_07,9211.56255,5397304.0,5397324.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_08,9329.683183,6170156.0,6170176.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_09,9455.521749,6942444.0,6942469.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_1,9591.671838,7712845.0,7712878.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_11,9737.721549,8483348.0,8483383.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_12,9895.58741,9256200.0,9256228.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_13,10064.51163,10028284.0,10028309.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_14,10251.543216,10800485.0,10800537.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_15,10455.675315,11573200.0,11573261.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_16,10680.046266,12344862.0,12344908.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_17,10935.705197,13118039.0,13118101.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_18,11213.442603,13888355.0,13888425.0
2b,mixed,coh,naive_hops_3_6,ns_m_latop,0_19,11536.340624,14660889.0,14660957.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_01,8483.670237,772021.0,772027.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_02,8563.40974,1543766.0,1543771.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_03,8654.253556,2313730.0,2313739.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_04,8750.957627,3084174.0,3084184.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_05,8855.024512,3854313.0,3854327.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_06,8965.87355,4625451.0,4625470.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_07,9087.946066,5397305.0,5397324.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_08,9216.51928,6170155.0,6170176.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_09,9354.92259,6942442.0,6942469.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_1,9503.528394,7712844.0,7712878.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_11,9664.715707,8483348.0,8483383.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_12,9844.435544,9256196.0,9256228.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_13,10032.820691,10028285.0,10028309.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_14,10244.276188,10800486.0,10800537.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_15,10474.810207,11573199.0,11573261.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_16,10728.531391,12344863.0,12344908.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_17,11015.625244,13118035.0,13118101.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_18,11327.158446,13888354.0,13888425.0
2b,mixed,coh,naive_hops_3_6,kite_large,0_19,11692.450579,14660883.0,14660957.0
2b,mixed,coh,naive_hops_3_6,lpbt_s_power,0_01,8128.443708,772022.0,772027.0
2b,mixed,coh,naive_hops_3_6,lpbt_s_power,0_02,8261.053989,1543765.0,1543771.0
2b,mixed,coh,naive_hops_3_6,lpbt_s_power,0_03,8401.596321,2313730.0,2313739.0
2b,mixed,coh,naive_hops_3_6,lpbt_s_power,0_04,8548.305258,3084174.0,3084184.0
