sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_01,7870.192668,772022.0,772027.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_02,7999.443319,1543764.0,1543771.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_03,8142.727297,2313731.0,2313739.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_04,8296.877818,3084174.0,3084184.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_05,8465.147831,3854313.0,3854327.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_06,8648.701557,4625450.0,4625470.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_07,8851.83529,5397308.0,5397324.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_08,9076.205796,6170155.0,6170176.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_09,9327.919376,6942446.0,6942467.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_1,9617.485771,7712840.0,7712878.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_11,9949.524688,8483350.0,8483382.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_12,10342.620049,9256194.0,9256227.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_13,10818.949803,10028285.0,10028309.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_14,11401.243601,10800480.0,10800536.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_15,12173.968897,11573184.0,11573254.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_16,13224.47018,12344842.0,12344907.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_17,14904.913101,13118008.0,13118088.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_18,18979.63518,13888286.0,13888396.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_19,1825117.261453,14634297.0,14634408.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_2,10262336.664072,15264748.0,15264875.0
2b,mixed,mem,ns_s_bwop,naive_paths_3_4,0_21,26603764.091289,15743092.0,15743223.0
