sim_cycles,mixed_or_same,mem_or_coh,config,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,mixed,mem,ns_s_latop,0_14,10670.487561,5031850.0,5031916.0
1b,mixed,mem,ns_s_latop,0_01,7898.431827,359871.0,359872.0
1b,mixed,mem,ns_s_latop,0_02,8017.81471,719813.0,719818.0
1b,mixed,mem,ns_s_latop,0_03,8152.273794,1079452.0,1079458.0
1b,mixed,mem,ns_s_latop,0_04,8292.039008,1438058.0,1438068.0
1b,mixed,mem,ns_s_latop,0_05,8443.453305,1796352.0,1796367.0
1b,mixed,mem,ns_s_latop,0_06,8602.728129,2155392.0,2155407.0
1b,mixed,mem,ns_s_latop,0_07,8778.643397,2515139.0,2515163.0
1b,mixed,mem,ns_s_latop,0_08,8965.310256,2874592.0,2874616.0
1b,mixed,mem,ns_s_latop,0_09,9171.655917,3234007.0,3234032.0
1b,mixed,mem,ns_s_latop,0_1,9404.321061,3593848.0,3593887.0
1b,mixed,mem,ns_s_latop,0_11,9654.886359,3952431.0,3952472.0
1b,mixed,mem,ns_s_latop,0_12,9945.296464,4311896.0,4311937.0
1b,mixed,mem,ns_s_latop,0_13,10279.576203,4671491.0,4671519.0
1b,mixed,mem,ns_s_latop,0_15,11144.464237,5392266.0,5392329.0
1b,mixed,mem,ns_s_latop,0_16,11708.333126,5751404.0,5751475.0
1b,mixed,mem,ns_s_latop,0_17,12466.615303,6110987.0,6111059.0
1b,mixed,mem,ns_s_latop,0_18,13545.69399,6469607.0,6469692.0
1b,mixed,mem,ns_s_latop,0_19,15689.194664,6828288.0,6828361.0
1b,mixed,mem,ns_s_latop,0_2,46179.545585,7187363.0,7187550.0
1b,mixed,mem,ns_s_latop,0_21,5084977.763914,7458075.0,7458251.0
1b,mixed,mem,ns_s_latop,0_22,10397326.224515,7690722.0,7690902.0
1b,mixed,mem,ns_s_latop,0_23,18135456.853325,7847891.0,7848142.0
1b,mixed,mem,ns_s_latop,0_24,26946900.199208,7955740.0,7956009.0
1b,mixed,mem,ns_s_latop,0_25,37167681.956681,8034369.0,8034667.0
1b,mixed,mem,ns_s_latop,0_26,46249605.942331,8117197.0,8117491.0
1b,mixed,mem,ns_s_latop,0_27,58257747.977096,8132743.0,8133050.0
1b,mixed,mem,ns_s_latop,0_28,70020578.980065,8176673.0,8177055.0
1b,mixed,mem,ns_s_latop,0_29,81441911.37218,8185497.0,8185848.0
1b,mixed,mem,lpbt_s_power,0_01,8549.028585,359869.0,359872.0
1b,mixed,mem,lpbt_s_power,0_02,8712.948146,719813.0,719818.0
1b,mixed,mem,lpbt_s_power,0_03,8898.445067,1079452.0,1079458.0
1b,mixed,mem,lpbt_s_power,0_04,9097.365953,1438058.0,1438068.0
1b,mixed,mem,lpbt_s_power,0_05,9328.998376,1796349.0,1796367.0
1b,mixed,mem,lpbt_s_power,0_06,9587.714323,2155389.0,2155407.0
1b,mixed,mem,lpbt_s_power,0_07,9890.295353,2515137.0,2515163.0
1b,mixed,mem,lpbt_s_power,0_08,10243.108365,2874588.0,2874616.0
1b,mixed,mem,lpbt_s_power,0_09,10681.039783,3234003.0,3234032.0
1b,mixed,mem,lpbt_s_power,0_1,11258.741249,3593838.0,3593887.0
1b,mixed,mem,lpbt_s_power,0_11,12041.830373,3952426.0,3952472.0
1b,mixed,mem,lpbt_s_power,0_12,13284.289093,4311863.0,4311933.0
1b,mixed,mem,lpbt_s_power,0_13,16288.602201,4671459.0,4671519.0
1b,mixed,mem,lpbt_s_power,0_14,1729519.356401,5011633.0,5011786.0
1b,mixed,mem,lpbt_s_power,0_15,15924890.807398,5095611.0,5095761.0
1b,mixed,mem,lpbt_s_power,0_16,21930745.779677,5219317.0,5219494.0
1b,mixed,mem,lpbt_s_power,0_17,45079059.755269,5108940.0,5109190.0
1b,mixed,mem,lpbt_s_power,0_18,57731300.16725,5168544.0,5168793.0
1b,mixed,mem,lpbt_s_power,0_19,68563071.135619,5213109.0,5213360.0
1b,mixed,mem,lpbt_s_power,0_2,77262401.463694,5291810.0,5292053.0
1b,mixed,mem,lpbt_s_power,0_21,90283102.440147,5327271.0,5327526.0
1b,mixed,mem,lpbt_s_power,0_22,99696135.587434,5372676.0,5372953.0
1b,mixed,mem,lpbt_s_power,0_23,111370380.503903,5409141.0,5409432.0
1b,mixed,mem,lpbt_s_power,0_24,122370487.787033,5443081.0,5443367.0
1b,mixed,mem,lpbt_s_power,0_25,132665408.264178,5480160.0,5480464.0
1b,mixed,mem,lpbt_s_power,0_26,144717708.321484,5500944.0,5501274.0
1b,mixed,mem,lpbt_s_power,0_27,156434764.855963,5509105.0,5509420.0
1b,mixed,mem,lpbt_s_power,0_28,167332441.420548,5522442.0,5522768.0
1b,mixed,mem,lpbt_s_power,0_29,178134960.780218,5531187.0,5531471.0
1b,mixed,mem,lpbt_s_latop,0_01,8595.74044,359871.0,359872.0
1b,mixed,mem,lpbt_s_latop,0_02,8768.627297,719812.0,719818.0
1b,mixed,mem,lpbt_s_latop,0_03,8960.958831,1079452.0,1079458.0
1b,mixed,mem,lpbt_s_latop,0_04,9174.197376,1438057.0,1438068.0
1b,mixed,mem,lpbt_s_latop,0_05,9412.652093,1796350.0,1796367.0
1b,mixed,mem,lpbt_s_latop,0_06,9680.322457,2155390.0,2155407.0
1b,mixed,mem,lpbt_s_latop,0_07,10003.237881,2515131.0,2515163.0
1b,mixed,mem,lpbt_s_latop,0_08,10392.433712,2874589.0,2874616.0
1b,mixed,mem,lpbt_s_latop,0_09,10901.663303,3234001.0,3234032.0
1b,mixed,mem,lpbt_s_latop,0_1,11613.982234,3593842.0,3593887.0
1b,mixed,mem,lpbt_s_latop,0_11,13037.494004,3952426.0,3952472.0
1b,mixed,mem,lpbt_s_latop,0_12,33015.903983,4311758.0,4311847.0
1b,mixed,mem,lpbt_s_latop,0_13,5430550.160729,4592885.0,4592963.0
1b,mixed,mem,lpbt_s_latop,0_14,12086619.363519,4834262.0,4834459.0
1b,mixed,mem,lpbt_s_latop,0_15,22966873.727563,5013570.0,5013762.0
1b,mixed,mem,lpbt_s_latop,0_16,35504015.990467,5120703.0,5120953.0
1b,mixed,mem,lpbt_s_latop,0_17,44466049.770664,5236365.0,5236616.0
1b,mixed,mem,lpbt_s_latop,0_18,49529670.20267,5325253.0,5325552.0
1b,mixed,mem,lpbt_s_latop,0_19,55166097.593367,5381107.0,5381384.0
1b,mixed,mem,lpbt_s_latop,0_2,59589390.596102,5398980.0,5399253.0
1b,mixed,mem,lpbt_s_latop,0_21,68429617.179362,5402161.0,5402452.0
1b,mixed,mem,lpbt_s_latop,0_22,79789083.452168,5422417.0,5422691.0
1b,mixed,mem,lpbt_s_latop,0_23,98235492.812819,5378093.0,5378388.0
1b,mixed,mem,lpbt_s_latop,0_24,111842101.4937,5360451.0,5360725.0
1b,mixed,mem,lpbt_s_latop,0_25,122729749.498972,5320158.0,5320417.0
1b,mixed,mem,lpbt_s_latop,0_26,134181441.03437,5207980.0,5208282.0
1b,mixed,mem,lpbt_s_latop,0_27,144885908.913296,5159187.0,5159520.0
