sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,same,mem,butter_donut_x,naive,0_01,7627.479336,359871.0,359872.0
1b,same,mem,butter_donut_x,naive,0_02,7746.978546,719813.0,719818.0
1b,same,mem,butter_donut_x,naive,0_03,7879.717119,1079452.0,1079458.0
1b,same,mem,butter_donut_x,naive,0_04,8027.440513,1438060.0,1438068.0
1b,same,mem,butter_donut_x,naive,0_05,8185.936553,1796353.0,1796367.0
1b,same,mem,butter_donut_x,naive,0_06,8364.45078,2155392.0,2155407.0
1b,same,mem,butter_donut_x,naive,0_07,8561.702021,2515141.0,2515163.0
1b,same,mem,butter_donut_x,naive,0_08,8780.392684,2874593.0,2874616.0
1b,same,mem,butter_donut_x,naive,0_09,9030.053861,3234006.0,3234032.0
1b,same,mem,butter_donut_x,naive,0_1,9317.986223,3593851.0,3593887.0
1b,same,mem,butter_donut_x,naive,0_11,9644.270007,3952432.0,3952472.0
1b,same,mem,butter_donut_x,naive,0_12,10035.98984,4311895.0,4311934.0
1b,same,mem,butter_donut_x,naive,0_13,10498.660053,4671493.0,4671519.0
1b,same,mem,butter_donut_x,naive,0_14,11080.325951,5031854.0,5031916.0
1b,same,mem,butter_donut_x,naive,0_15,11836.036686,5392259.0,5392329.0
1b,same,mem,butter_donut_x,naive,0_16,12857.542052,5751408.0,5751474.0
1b,same,mem,butter_donut_x,naive,0_17,14537.239282,6110969.0,6111058.0
1b,same,mem,butter_donut_x,naive,0_18,22663.690853,6469552.0,6469672.0
1b,same,mem,butter_donut_x,naive,0_19,3305955.43734,6773021.0,6773124.0
1b,same,mem,butter_donut_x,naive,0_2,8792544.05042,7019104.0,7019286.0
1b,same,mem,butter_donut_x,naive,0_21,14135639.15648,7251648.0,7251825.0
1b,same,mem,butter_donut_x,naive,0_22,21746922.578918,7440950.0,7441126.0
1b,same,mem,butter_donut_x,naive,0_23,30077104.086637,7603915.0,7604089.0
1b,same,mem,butter_donut_x,naive,0_24,37360159.537445,7756775.0,7756995.0
1b,same,mem,butter_donut_x,naive,0_25,43655319.744711,7911860.0,7912075.0
1b,same,mem,butter_donut_x,naive,0_26,49109406.922456,8064035.0,8064256.0
1b,same,mem,butter_donut_x,naive,0_27,54204513.436992,8216145.0,8216382.0
1b,same,mem,butter_donut_x,naive,0_28,59266701.388844,8360966.0,8361177.0
1b,same,mem,butter_donut_x,naive,0_29,63710762.086266,8500362.0,8500573.0
1b,same,mem,ns_l_latop,naive,0_01,7232.662804,359871.0,359872.0
1b,same,mem,ns_l_latop,naive,0_02,7345.573406,719814.0,719818.0
1b,same,mem,ns_l_latop,naive,0_03,7475.786662,1079452.0,1079458.0
1b,same,mem,ns_l_latop,naive,0_04,7616.755373,1438060.0,1438068.0
1b,same,mem,ns_l_latop,naive,0_05,7769.757312,1796353.0,1796367.0
1b,same,mem,ns_l_latop,naive,0_06,7940.423496,2155392.0,2155407.0
1b,same,mem,ns_l_latop,naive,0_07,8128.785783,2515141.0,2515163.0
1b,same,mem,ns_l_latop,naive,0_08,8338.003727,2874595.0,2874616.0
1b,same,mem,ns_l_latop,naive,0_09,8577.407777,3234006.0,3234032.0
1b,same,mem,ns_l_latop,naive,0_1,8849.418475,3593853.0,3593887.0
1b,same,mem,ns_l_latop,naive,0_11,9157.025069,3952431.0,3952472.0
1b,same,mem,ns_l_latop,naive,0_12,9529.802255,4311898.0,4311936.0
1b,same,mem,ns_l_latop,naive,0_13,9974.825376,4671492.0,4671519.0
1b,same,mem,ns_l_latop,naive,0_14,10520.262136,5031855.0,5031915.0
1b,same,mem,ns_l_latop,naive,0_15,11221.12711,5392260.0,5392327.0
1b,same,mem,ns_l_latop,naive,0_16,12153.608209,5751401.0,5751474.0
1b,same,mem,ns_l_latop,naive,0_17,13567.96543,6110981.0,6111057.0
1b,same,mem,ns_l_latop,naive,0_18,16450.346789,6469573.0,6469677.0
1b,same,mem,ns_l_latop,naive,0_19,524247.568618,6820859.0,6820991.0
1b,same,mem,ns_l_latop,naive,0_2,7673816.107121,7061104.0,7061263.0
1b,same,mem,ns_l_latop,naive,0_21,15917909.217327,7254737.0,7254920.0
1b,same,mem,ns_l_latop,naive,0_22,22648763.458551,7438692.0,7438864.0
1b,same,mem,ns_l_latop,naive,0_23,28152443.528285,7621434.0,7621621.0
1b,same,mem,ns_l_latop,naive,0_24,33656985.009902,7798347.0,7798530.0
