sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_02,7267.977201,1543766.0,1543771.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_01,7170.146755,772023.0,772027.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_03,7374.508855,2313731.0,2313739.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_04,7488.883869,3084175.0,3084184.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_05,7613.44441,3854318.0,3854327.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_06,7746.56352,4625452.0,4625470.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_07,7895.852761,5397307.0,5397324.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_08,8054.563534,6170159.0,6170176.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_09,8230.870137,6942448.0,6942470.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_1,8427.011315,7712845.0,7712877.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_11,8647.970017,8483355.0,8483382.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_12,8898.600817,9256203.0,9256227.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_13,9182.479171,10028289.0,10028309.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_14,9510.475584,10800488.0,10800535.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_15,9898.740898,11573200.0,11573256.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_16,10358.436031,12344855.0,12344905.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_17,10935.335266,13118033.0,13118097.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_18,11655.913878,13888345.0,13888416.0
2b,same,coh,ns_l_latop,bsorm_hops_3_4,0_19,12661.584513,14660887.0,14660952.0
