sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,20r_4p_25ll_runsol_scbw,cload_hops_3_6,0_01,7275.298984,772022.0,772027.0
2b,mixed,mem,20r_4p_25ll_runsol_scbw,cload_hops_3_6,0_02,7384.113458,1543766.0,1543771.0
2b,mixed,mem,20r_4p_25ll_runsol_scbw,cload_hops_3_6,0_03,7500.327252,2313731.0,2313739.0
2b,mixed,mem,20r_4p_25ll_runsol_scbw,cload_hops_3_6,0_04,7624.082349,3084173.0,3084184.0
2b,mixed,mem,20r_4p_25ll_runsol_scbw,cload_hops_3_6,0_05
2b,mixed,mem,20r_4p_25ll_runsol_scbw,cload_hops_3_6,0_06
2b,mixed,mem,20r_4p_15ll_runsol_scbw,cload_hops_3_6,0_01,7820.344944,772022.0,772027.0
2b,mixed,mem,20r_4p_15ll_runsol_scbw,cload_hops_3_6,0_02,7939.210281,1543765.0,1543771.0
2b,mixed,mem,20r_4p_15ll_runsol_scbw,cload_hops_3_6,0_03,8065.602044,2313731.0,2313739.0
2b,mixed,mem,20r_4p_15ll_runsol_scbw,cload_hops_3_6,0_04,8197.469581,3084174.0,3084184.0
2b,mixed,mem,20r_4p_15ll_runsol_scbw,cload_hops_3_6,0_05
2b,mixed,mem,20r_4p_15ll_runsol_scbw,cload_hops_3_6,0_06
2b,mixed,mem,ns_s_bwop,cload_hops_3_6,0_01,7867.167884,772022.0,772027.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_6,0_02,7990.670214,1543764.0,1543771.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_6,0_03,8123.747086,2313731.0,2313739.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_6,0_04,8262.597773,3084174.0,3084184.0
2b,mixed,mem,ns_s_bwop,cload_hops_3_6,0_05
2b,mixed,mem,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_01,8829.23725,772022.0,772027.0
2b,mixed,mem,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_02,8938.27429,1543766.0,1543771.0
2b,mixed,mem,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_03,9056.49626,2313731.0,2313739.0
2b,mixed,mem,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_04,9181.901734,3084173.0,3084184.0
2b,mixed,mem,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_05
2b,mixed,mem,ns_l_bwop,cload_hops_3_6,0_01,8171.984037,772022.0,772027.0
2b,mixed,mem,ns_l_bwop,cload_hops_3_6,0_02,8261.113467,1543766.0,1543771.0
2b,mixed,mem,ns_l_bwop,cload_hops_3_6,0_03,8365.574888,2313731.0,2313739.0
2b,mixed,mem,ns_l_bwop,cload_hops_3_6,0_04,8477.340341,3084173.0,3084184.0
2b,mixed,mem,ns_l_bwop,cload_hops_3_6,0_05
2b,mixed,mem,ns_m_latop,cload_hops_3_6,0_01,8724.051817,772022.0,772027.0
2b,mixed,mem,ns_m_latop,cload_hops_3_6,0_02,8832.899921,1543766.0,1543771.0
2b,mixed,mem,ns_m_latop,cload_hops_3_6,0_03,8951.132824,2313731.0,2313739.0
2b,mixed,mem,ns_m_latop,cload_hops_3_6,0_04,9075.179879,3084173.0,3084184.0
2b,mixed,mem,ns_m_latop,cload_hops_3_6,0_05
2b,mixed,mem,kite_small,cload_hops_3_6,0_01,7821.45043,772022.0,772027.0
2b,mixed,mem,kite_small,cload_hops_3_6,0_02,7940.918153,1543765.0,1543771.0
2b,mixed,mem,kite_small,cload_hops_3_6,0_03,8068.482334,2313731.0,2313739.0
2b,mixed,mem,kite_small,cload_hops_3_6,0_04,8201.406791,3084174.0,3084184.0
2b,mixed,mem,kite_small,cload_hops_3_6,0_05
2b,mixed,mem,kite_large,cload_hops_3_6,0_01,8353.394753,772022.0,772027.0
2b,mixed,mem,kite_large,cload_hops_3_6,0_02,8446.062271,1543766.0,1543771.0
2b,mixed,mem,kite_large,cload_hops_3_6,0_03,8554.443274,2313730.0,2313739.0
2b,mixed,mem,kite_large,cload_hops_3_6,0_04,8671.87336,3084173.0,3084184.0
2b,mixed,mem,kite_large,cload_hops_3_6,0_05
2b,mixed,mem,lpbt_s_power,cload_hops_3_6,0_01,8185.913168,772022.0,772027.0
2b,mixed,mem,lpbt_s_power,cload_hops_3_6,0_02,8331.473587,1543761.0,1543771.0
2b,mixed,mem,lpbt_s_power,cload_hops_3_6,0_03,8490.625337,2313730.0,2313739.0
2b,mixed,mem,lpbt_s_power,cload_hops_3_6,0_04,8661.19321,3084174.0,3084184.0
2b,mixed,mem,lpbt_s_power,cload_hops_3_6,0_05
2b,mixed,mem,ns_l_latop,cload_hops_3_6,0_01,8144.320224,772022.0,772027.0
2b,mixed,mem,ns_l_latop,cload_hops_3_6,0_02,8232.969984,1543766.0,1543771.0
2b,mixed,mem,ns_l_latop,cload_hops_3_6,0_03,8336.544181,2313731.0,2313739.0
2b,mixed,mem,ns_l_latop,cload_hops_3_6,0_04
2b,mixed,mem,ns_l_latop,cload_hops_3_6,0_05
2b,mixed,mem,butter_donut_x,cload_hops_3_6,0_01,8621.139658,772021.0,772027.0
2b,mixed,mem,butter_donut_x,cload_hops_3_6,0_02,8715.412712,1543766.0,1543771.0
2b,mixed,mem,butter_donut_x,cload_hops_3_6,0_03,8824.09458,2313729.0,2313739.0
2b,mixed,mem,butter_donut_x,cload_hops_3_6,0_04
2b,mixed,mem,butter_donut_x,cload_hops_3_6,0_05
