sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,butter_donut_x,naive,0_14,10388.544593,4444881.0,4444957.0
2b,mixed,coh,butter_donut_x,naive,0_01,8536.821737,772023.0,772027.0
2b,mixed,coh,butter_donut_x,naive,0_02,8619.995997,1543766.0,1543771.0
2b,mixed,coh,butter_donut_x,naive,0_03,8712.420089,2313731.0,2313739.0
2b,mixed,coh,butter_donut_x,naive,0_04,8813.276537,3084172.0,3084184.0
2b,mixed,coh,butter_donut_x,naive,0_05,8919.487001,3854313.0,3854327.0
2b,mixed,coh,butter_donut_x,naive,0_06,9034.761935,4625450.0,4625470.0
2b,mixed,coh,butter_donut_x,naive,0_07,9159.18293,5397306.0,5397324.0
2b,mixed,coh,butter_donut_x,naive,0_08,9293.010149,6170158.0,6170176.0
2b,mixed,coh,butter_donut_x,naive,0_09,9434.945616,6942443.0,6942470.0
2b,mixed,coh,butter_donut_x,naive,0_1,9590.237097,7712844.0,7712878.0
2b,mixed,coh,butter_donut_x,naive,0_11,9759.112517,8483347.0,8483384.0
2b,mixed,coh,butter_donut_x,naive,0_12,9945.121471,9256193.0,9256228.0
2b,mixed,coh,butter_donut_x,naive,0_13,10143.265167,10028285.0,10028309.0
2b,mixed,coh,butter_donut_x,naive,0_29,24203.407235,16292972.0,16293138.0
2b,mixed,coh,butter_donut_x,naive,0_28,20065.610369,15793387.0,15793530.0
2b,mixed,coh,butter_donut_x,naive,0_25,13068.917102,15254488.0,15254616.0
2b,mixed,coh,butter_donut_x,naive,0_24,10987.842467,13873536.0,13873668.0
2b,mixed,coh,butter_donut_x,naive,0_23,14861.916874,17746685.0,17746840.0
2b,mixed,coh,butter_donut_x,naive,0_26,11372.798844,14274888.0,14275016.0
2b,mixed,coh,butter_donut_x,naive,0_21,13118.241603,16204045.0,16204168.0
2b,mixed,coh,butter_donut_x,naive,0_22,13877.724272,16976478.0,16976640.0
2b,mixed,coh,butter_donut_x,naive,0_27,13867.45374,15246845.0,15246981.0
2b,mixed,coh,butter_donut_x,naive,0_2,12538.020937,15432423.0,15432553.0
2b,mixed,coh,butter_donut_x,naive,0_15
2b,mixed,coh,butter_donut_x,cload,0_01,8536.152685,772023.0,772027.0
2b,mixed,coh,butter_donut_x,cload,0_02,8617.800472,1543766.0,1543771.0
2b,mixed,coh,butter_donut_x,cload,0_03,8709.037322,2313731.0,2313739.0
2b,mixed,coh,butter_donut_x,cload,0_04,8808.336634,3084172.0,3084184.0
2b,mixed,coh,butter_donut_x,cload,0_05,8913.161603,3854314.0,3854327.0
2b,mixed,coh,butter_donut_x,cload,0_06,9026.376616,4625449.0,4625470.0
2b,mixed,coh,butter_donut_x,cload,0_07,9149.009335,5397306.0,5397324.0
2b,mixed,coh,butter_donut_x,cload,0_08,9280.529672,6170155.0,6170176.0
2b,mixed,coh,butter_donut_x,cload,0_09,9420.618932,6942446.0,6942469.0
2b,mixed,coh,butter_donut_x,cload,0_1,9571.426125,7712845.0,7712878.0
2b,mixed,coh,butter_donut_x,cload,0_11,9737.984498,8483346.0,8483384.0
2b,mixed,coh,butter_donut_x,cload,0_12,9917.92324,9256196.0,9256228.0
2b,mixed,coh,butter_donut_x,cload,0_13,10114.216646,10028286.0,10028309.0
2b,mixed,coh,butter_donut_x,cload,0_14,10329.416403,10800484.0,10800537.0
2b,mixed,coh,butter_donut_x,cload,0_15,10564.190679,11573201.0,11573261.0
2b,mixed,coh,butter_donut_x,cload,0_16,10825.850797,12344859.0,12344907.0
2b,mixed,coh,butter_donut_x,cload,0_17,11121.317858,13118034.0,13118101.0
2b,mixed,coh,butter_donut_x,cload,0_18,11445.325772,13888354.0,13888426.0
2b,mixed,coh,butter_donut_x,cload,0_19,11822.552449,14660885.0,14660958.0
2b,mixed,coh,butter_donut_x,cload,0_2,12257.046077,15432471.0,15432553.0
2b,mixed,coh,butter_donut_x,cload,0_21,12768.046509,16204077.0,16204176.0
2b,mixed,coh,butter_donut_x,cload,0_22,13380.395937,16976529.0,16976641.0
2b,mixed,coh,butter_donut_x,cload,0_23,14135.960811,17746721.0,17746840.0
2b,mixed,coh,butter_donut_x,cload,0_24,15129.07004,18517629.0,18517777.0
2b,mixed,coh,butter_donut_x,cload,0_25,16441.066305,19288976.0,19289100.0
2b,mixed,coh,butter_donut_x,cload,0_26,18476.208085,20060143.0,20060244.0
2b,mixed,coh,butter_donut_x,cload,0_27,1926524.754431,20786914.0,20787082.0
2b,mixed,coh,butter_donut_x,cload,0_28,4525951.216724,21457158.0,21457355.0
2b,mixed,coh,butter_donut_x,cload,0_29,22591310.654195,21868823.0,21869017.0
2b,mixed,coh,butter_donut_x,cload_zindexed,0_01
2b,mixed,coh,lpbt_s_power,naive,0_01,8128.439386,772022.0,772027.0
2b,mixed,coh,lpbt_s_power,naive,0_02,8261.03274,1543765.0,1543771.0
2b,mixed,coh,lpbt_s_power,naive,0_03,8401.744349,2313730.0,2313739.0
2b,mixed,coh,lpbt_s_power,naive,0_04,8548.388184,3084174.0,3084184.0
