sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_01,7743.791371,7615.204692,1716039.0,1716049.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_02,7841.62881,7707.991046,3431328.0,3431341.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_03,7943.519722,7803.841207,5145327.0,5145343.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_04,8050.126256,7905.907359,6860267.0,6860289.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_05,8160.107212,8011.816482,8574620.0,8574653.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_06,8276.360525,8126.006762,10288253.0,10288297.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_07,8398.248997,8246.920927,12003292.0,12003334.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_08,8528.276918,8379.945025,13721085.0,13721136.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_09,8667.553442,8525.055705,15437588.0,15437651.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_1,8819.030744,8685.841412,17150927.0,17150976.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_11,8982.57275,8863.287596,18867406.0,18867475.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_12,9162.194952,9062.75389,20585952.0,20586026.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_13,9360.040256,9287.585819,22303481.0,22303579.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_14,9582.137412,9547.549049,24021721.0,24021822.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_15,9837.197406,9852.309186,25738687.0,25738801.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_16,10124.705778,10206.005433,27457120.0,27457223.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_17,10462.068129,10632.803556,29176876.0,29177013.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_18,10859.638425,11150.547676,30891966.0,30892100.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_19,11347.843582,11806.283996,32608562.0,32608748.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_2,11958.958704,12653.370435,34325817.0,34325979.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_21,12777.453084,13829.35849,36042854.0,36043022.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_22,13952.519433,15586.7431,37758521.0,37758750.0
2b,mixed,coh,ns_l_latop,mclb_hops_4_6_40cpus_8xdirs_2.0GHz,0_23,15927.983145,18659.955065,39474294.0,39474511.0
