sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_01,8775.539971,772021.0,772027.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_02,8876.403059,1543765.0,1543771.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_03,8980.167413,2313730.0,2313739.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_04,9087.235007,3084171.0,3084184.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_05,9196.552818,3854312.0,3854327.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_06,9313.148723,4625449.0,4625470.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_07,9435.41314,5397305.0,5397324.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_08,9561.876231,6170157.0,6170176.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_09,9697.096583,6942443.0,6942470.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_1,9840.389556,7712845.0,7712878.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_11,9992.716098,8483347.0,8483384.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_12,10159.347699,9256198.0,9256228.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_13,10336.126992,10028283.0,10028309.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_29,23309.783443,22372554.0,22372759.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_3,32217.522983,23144908.0,23145139.0
2b,mixed,coh,20r_4p_2ll_runsol_scbw,cload_hops_3_6,0_31,1736720.427474,23879817.0,23880106.0
