sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_01,8777.835362,772022.0,772027.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_02,8907.459514,1543766.0,1543771.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_03,9046.222761,2313731.0,2313739.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_04,9191.906829,3084173.0,3084184.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_05,9347.80249,3854314.0,3854327.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_06,9513.29493,4625450.0,4625470.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_07,9693.452728,5397307.0,5397324.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_08,9884.844849,6170150.0,6170176.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_09,10095.512448,6942442.0,6942469.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_1,10328.449802,7712843.0,7712878.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_11,10586.101,8483346.0,8483383.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_12,10878.86814,9256193.0,9256228.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_13,11216.484826,10028285.0,10028309.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_14,11604.668706,10800484.0,10800537.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_15,12063.280661,11573186.0,11573261.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_16,12623.192865,12344845.0,12344908.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_17,13313.225316,13118013.0,13118102.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_18,14258.627798,13888329.0,13888426.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_19,15737.450067,14660866.0,14660957.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_2,20752.83958,15432341.0,15432460.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_21,3916213.001642,16138504.0,16138658.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_22,11258007.55465,16743734.0,16743931.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_23,16295946.565785,17363613.0,17363792.0
2b,mixed,mem,ns_m_bwop,cload_hops_4_6,0_24,23805834.257391,17935010.0,17935232.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_01,8743.303849,772022.0,772027.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_02,8870.108209,1543765.0,1543771.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_03,9004.774799,2313731.0,2313739.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_04,9144.684814,3084173.0,3084184.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_05,9296.092211,3854314.0,3854327.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_06,9454.472608,4625448.0,4625470.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_07,9628.474543,5397305.0,5397324.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_08,9809.183282,6170147.0,6170176.0
2b,mixed,mem,ns_m_latop,cload_hops_4_6,0_09,10010.187419,6942441.0,6942469.0
