sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_02,8021.623331,1543764.0,1543771.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_01,7882.381108,772022.0,772027.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_03,8168.900303,2313731.0,2313739.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_04,8322.384772,3084174.0,3084184.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_05,8487.535684,3854315.0,3854327.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_06,8660.736313,4625450.0,4625470.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_07,8847.431428,5397308.0,5397324.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_08,9048.676403,6170154.0,6170176.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_09,9268.017949,6942446.0,6942470.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_1,9511.60429,7712844.0,7712878.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_11,9781.718501,8483347.0,8483383.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_12,10092.626802,9256196.0,9256228.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_13,10449.8838,10028285.0,10028309.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_14,10865.294813,10800485.0,10800537.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_15,11376.114498,11573185.0,11573261.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_16,12021.400692,12344851.0,12344907.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_17,12957.292697,13118018.0,13118102.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_18,14826.095067,13888326.0,13888426.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_19,157487.828077,14658776.0,14658878.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_2,8324502.545112,15279718.0,15279833.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_21,13042274.498235,15888495.0,15888656.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_22,13522641.714104,16501266.0,16501483.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_23,28456304.38125,16929060.0,16929262.0
2b,mixed,mem,ns_s_bwop,cload_paths_4_6,0_24,42549263.820713,17343563.0,17343827.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_01,9254.221344,772021.0,772027.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_02,9387.068073,1543764.0,1543771.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_03,9538.338325,2313730.0,2313739.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_04,9703.34135,3084173.0,3084184.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_05,9882.584899,3854314.0,3854327.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_06,10078.461667,4625446.0,4625470.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_07,10296.295461,5397306.0,5397324.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_08,10531.158479,6170146.0,6170176.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_09,10788.951703,6942441.0,6942470.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_1,11079.01395,7712839.0,7712878.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_11,11402.059299,8483340.0,8483383.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_12,11770.601024,9256189.0,9256228.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_13,12193.711143,10028280.0,10028309.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_14,12685.239152,10800476.0,10800537.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_15,13268.064617,11573184.0,11573261.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_16,13969.82695,12344838.0,12344909.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_17,14840.644676,13118006.0,13118102.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_18,15944.165357,13888313.0,13888424.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_19,17454.534099,14660857.0,14660957.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_2,19660.026107,15432426.0,15432552.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_21,23530.404295,16203993.0,16204165.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_22,43893.597505,16976286.0,16976528.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_23,12907932.203929,17515581.0,17515830.0
2b,mixed,mem,dbl_bfly_x,cload_paths_4_6,0_24,31817863.115332,17889671.0,17889912.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_01,7836.199854,772022.0,772027.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_02,7970.347661,1543763.0,1543771.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_03,8111.375008,2313731.0,2313739.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_04,8257.797947,3084174.0,3084184.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_05,8415.878152,3854314.0,3854327.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_06,8578.408237,4625450.0,4625470.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_07,8753.76978,5397308.0,5397324.0
2b,mixed,mem,kite_small,cload_paths_4_6,0_08,8938.900772,6170154.0,6170176.0
