sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_02,7766.913734,1543766.0,1543771.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_01,7640.232004,772022.0,772027.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_03,7896.560267,2313732.0,2313739.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_04,8032.262789,3084173.0,3084184.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_05,8175.460344,3854314.0,3854327.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_06,8326.782554,4625451.0,4625470.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_07,8489.564661,5397307.0,5397324.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_08,8660.555889,6170158.0,6170176.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_09,8844.334084,6942446.0,6942469.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_1,9043.988611,7712847.0,7712877.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_11,9265.293535,8483352.0,8483382.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_12,9509.050278,9256200.0,9256228.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_13,9778.262904,10028284.0,10028309.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_14,10081.654344,10800484.0,10800536.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_15,10423.627847,11573198.0,11573260.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_16,10819.524034,12344859.0,12344909.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_17,11294.856996,13118032.0,13118097.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_18,11851.293224,13888348.0,13888425.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_19,12559.873477,14660883.0,14660954.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_2,13504.354561,15432474.0,15432551.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_21,14844.903479,16204064.0,16204160.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_22,17026.01816,16976479.0,16976595.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_23,22099.798351,17746649.0,17746764.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_24,724206.749741,18505958.0,18506082.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_25,12326444.227489,19061172.0,19061299.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_26,28550422.760508,19491592.0,19491726.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_27,45744571.240197,19870242.0,19870375.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_28,62893088.081028,20219378.0,20219516.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_29,77913943.837622,20566793.0,20566931.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_3,91353073.326713,20915571.0,20915701.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_31,102921968.269232,21275300.0,21275445.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_32,113598221.958471,21618913.0,21619066.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_33,122951704.510831,21968597.0,21968744.0
2b,mixed,coh,20r_4p_15ll_runsol_scbw,naive_hops_3_4,0_34
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_01,8632.681006,772022.0,772027.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_02,8743.717447,1543765.0,1543771.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_03,8862.031501,2313730.0,2313739.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_04,8986.21357,3084171.0,3084184.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_05,9117.284801,3854312.0,3854327.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_06,9254.875199,4625448.0,4625470.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_07,9406.087918,5397303.0,5397324.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_08,9566.213066,6170154.0,6170176.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_09,9739.597913,6942445.0,6942468.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_1,9929.915182,7712842.0,7712878.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_11,10138.918833,8483348.0,8483382.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_12,10369.137518,9256195.0,9256228.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_13,10630.257342,10028281.0,10028309.0
2b,mixed,coh,ns_m_latop,naive_hops_3_4,0_14,10921.039267,10800481.0,10800536.0
