sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_01,8750.772905,772022.0,772027.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_02,8883.897596,1543765.0,1543771.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_03,9024.301463,2313731.0,2313739.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_04,9171.409535,3084173.0,3084184.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_05,9329.431895,3854314.0,3854327.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_06,9496.283716,4625449.0,4625470.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_07,9677.225127,5397306.0,5397324.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_08,9869.550084,6170150.0,6170176.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_09,10081.30731,6942443.0,6942468.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_1,10316.285172,7712843.0,7712878.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_11,10577.863186,8483348.0,8483384.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_12,10872.337599,9256190.0,9256228.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_13,11212.868692,10028281.0,10028309.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_14,11613.663021,10800480.0,10800537.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_15,12089.242149,11573188.0,11573261.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_16,12674.240414,12344848.0,12344908.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_17,13425.854118,13118019.0,13118103.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_18,14459.553745,13888325.0,13888426.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_19,16268.508975,14660871.0,14660958.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_2,110457.773502,15431492.0,15431600.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_21,3621755.372786,16139592.0,16139740.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_22,7651000.417035,16818506.0,16818680.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_23,14224557.562801,17441033.0,17441237.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_24,23126823.13989,17987941.0,17988154.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_25,35795110.302278,18428715.0,18428909.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_26,49723859.010045,18826222.0,18826489.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_27,63125925.363134,19199220.0,19199456.0
2b,mixed,mem,ns_m_latop,naive_hops_4_6,0_28,27196642.348757,7002385.0,7002667.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_01,8780.090987,772022.0,772027.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_02,8912.430079,1543764.0,1543771.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_03,9052.807105,2313731.0,2313739.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_04,9200.509022,3084173.0,3084184.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_05,9359.377715,3854314.0,3854327.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_06,9527.142403,4625448.0,4625470.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_07,9711.125559,5397307.0,5397324.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_08,9906.450269,6170149.0,6170176.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_09,10119.819842,6942442.0,6942470.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_1,10359.39828,7712840.0,7712878.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_11,10626.65078,8483345.0,8483384.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_12,10930.126093,9256189.0,9256228.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_13,11285.149684,10028283.0,10028309.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_14,11694.235164,10800481.0,10800537.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_15,12187.85597,11573178.0,11573261.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_16,12792.090579,12344850.0,12344908.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_17,13583.520961,13118012.0,13118103.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_18,14671.353219,13888329.0,13888426.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_19,16725.554366,14660870.0,14660958.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_2,28150.029715,15432303.0,15432424.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_21,7879521.349773,16072799.0,16072947.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_22,22802353.64891,16532217.0,16532422.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_23,34839246.740398,16987890.0,16988097.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_24,47424132.032082,17393603.0,17393819.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_25,60933074.164974,17756499.0,17756736.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_26,73371945.551633,18120383.0,18120648.0
2b,mixed,mem,ns_m_bwop,naive_hops_4_6,0_27,59075340.844066,12602587.0,12602831.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_01,9283.180308,772022.0,772027.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_02,9431.722719,1543765.0,1543771.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_03,9592.008559,2313728.0,2313739.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_04,9761.803986,3084172.0,3084184.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_05,9948.480518,3854313.0,3854327.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_06,10145.663475,4625447.0,4625470.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_07,10368.319287,5397306.0,5397324.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_08,10612.115112,6170147.0,6170176.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_09,10890.237945,6942441.0,6942469.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_1,11210.569638,7712838.0,7712878.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_11,11583.435216,8483343.0,8483383.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_12,12040.690749,9256188.0,9256228.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_13,12630.219596,10028279.0,10028309.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_14,13426.611938,10800469.0,10800537.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_15,14633.104443,11573184.0,11573261.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_16,18252.72085,12344769.0,12344864.0
2b,mixed,mem,lpbt_m_latop,naive_hops_4_6,0_17,4458733.061123,13053633.0,13053762.0
