sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
2b,same,mem,ns_m_scop,naive_hops_4_6,0_01,7447.442337,772022.0,772027.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_02,7587.1775,1543766.0,1543771.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_03,7741.22844,2313731.0,2313739.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_04,7906.771178,3084174.0,3084184.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_05,8091.323494,3854316.0,3854327.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_06,8294.629164,4625450.0,4625470.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_07,8521.777791,5397303.0,5397324.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_08,8779.940735,6170154.0,6170176.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_09,9072.73057,6942446.0,6942470.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_1,9417.423799,7712847.0,7712878.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_11,9819.02082,8483347.0,8483383.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_12,10313.621436,9256194.0,9256228.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_13,10926.16719,10028284.0,10028309.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_14,11714.477536,10800486.0,10800537.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_15,12795.790991,11573178.0,11573260.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_16,14462.402256,12344843.0,12344909.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_17,17888.014513,13118001.0,13118099.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_18,950214.307247,13876310.0,13876453.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_19,15856301.47338,14411969.0,14412101.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_2,32359240.378093,14850280.0,14850439.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_21,47077705.284268,15255310.0,15255493.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_22,59303033.743748,15653349.0,15653540.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_23,71909041.570319,16026300.0,16026509.0
2b,same,mem,ns_m_scop,naive_hops_4_6,0_24,85326349.937466,16368444.0,16368662.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_01,7843.467259,772022.0,772027.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_02,7989.862965,1543765.0,1543771.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_03,8151.162947,2313731.0,2313739.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_04,8325.285219,3084174.0,3084184.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_05,8518.277923,3854315.0,3854327.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_06,8729.369248,4625450.0,4625470.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_07,8967.842225,5397305.0,5397324.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_08,9234.520141,6170157.0,6170176.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_09,9538.073086,6942445.0,6942468.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_1,9899.135276,7712845.0,7712878.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_11,10323.247186,8483350.0,8483383.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_12,10844.563309,9256187.0,9256228.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_13,11517.349644,10028283.0,10028309.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_14,12412.926405,10800480.0,10800537.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_15,13773.756554,11573165.0,11573258.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_16,17096.828502,12344837.0,12344907.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_17,5249682.787159,13031427.0,13031549.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_18,15490674.545312,13548771.0,13548944.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_19,25511481.803726,14063475.0,14063600.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_2,43483552.383976,14460125.0,14460308.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_21,61921264.977168,14814666.0,14814850.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_22,77540608.95407,15175710.0,15175921.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_23,91185755.117578,15531046.0,15531257.0
2b,same,mem,ns_s_scop,naive_hops_4_6,0_24,104153296.574091,15850706.0,15850917.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_01,7293.053747,772022.0,772027.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_02,7422.020109,1543766.0,1543771.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_03,7565.937833,2313731.0,2313739.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_04,7719.600099,3084173.0,3084184.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_05,7883.616411,3854315.0,3854327.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_06,8066.818999,4625450.0,4625470.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_07,8267.472797,5397310.0,5397324.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_08,8490.693415,6170154.0,6170176.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_09,8740.569955,6942443.0,6942469.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_1,9023.385333,7712848.0,7712878.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_11,9348.902163,8483352.0,8483383.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_12,9736.114852,9256192.0,9256228.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_13,10194.343434,10028284.0,10028309.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_14,10748.57894,10800481.0,10800537.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_15,11437.261105,11573191.0,11573260.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_16,12335.97672,12344846.0,12344907.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_17,13588.350602,13118018.0,13118100.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_18,15626.821037,13888308.0,13888420.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_19,343164.455912,14656319.0,14656428.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_2,4441314.416391,15352861.0,15352994.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_21,11466150.131484,15974870.0,15975042.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_22,26930312.808651,16428979.0,16429168.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_23,43636958.235651,16818544.0,16818749.0
2b,same,mem,ns_l_scop,naive_hops_4_6,0_24,61218179.703713,17161712.0,17161925.0
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_01
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_02
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_03
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_04
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_05
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_06
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_07
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_08
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_09
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_1
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_11
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_12
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_13
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_14
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_15
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_16
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_17
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_18
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_19
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_2
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_21
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_22
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_23
2b,same,mem,20r_4p_2ll_runsol_scbw,naive_hops_4_6,0_24
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_01
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_02
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_03
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_04
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_05
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_06
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_07
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_08
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_09
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_1
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_11
2b,same,mem,20r_4p_25ll_runsol_scbw,naive_hops_4_6,0_12
